epoch,hjorth_activity,hjorth_mobility,hjorth_complexity,perm_entropy,approx_entropy,sample_entropy,shannon_entropy
15,"[1.09079262e-10 1.46118903e-10 1.44799427e-10 1.94013223e-10
 2.05347972e-10]",[0.0939597  0.09377817 0.09630313 0.09644861 0.09434869],[1.29768811 1.28781222 1.26253268 1.33585473 1.35674519],[0.52487454 0.52090505 0.52105734 0.52131348 0.52100045],[0.40806755 0.40648005 0.41678811 0.41713432 0.40862825],[0.35595228 0.35846814 0.36448996 0.36464194 0.36002447],[2.87099826 2.79900946 2.80958729 2.81044444 2.79271487]
16,"[1.26043535e-10 1.70611672e-10 1.70680003e-10 2.28720150e-10
 2.40528818e-10]",[0.09601226 0.09573043 0.09754081 0.09765862 0.09613509],[1.22031903 1.24366801 1.25271693 1.31751517 1.31384536],[0.51470656 0.50802248 0.51169849 0.51169724 0.50827754],[0.41531527 0.41214223 0.41785727 0.41796968 0.41280504],[0.37530868 0.37401992 0.3766284  0.37663848 0.37424586],[2.68686759 2.67372473 2.73092955 2.73233564 2.68414087]
17,"[1.06632677e-10 1.48127325e-10 1.51049529e-10 2.02457878e-10
 2.10287659e-10]",[0.10391077 0.10235729 0.10206778 0.10216103 0.10220005],[1.08519963 1.14102543 1.16738574 1.22904749 1.21421929],[0.51252084 0.50891171 0.51182069 0.51208621 0.51026602],[0.44591374 0.43975648 0.43880123 0.43875701 0.43846904],[0.39287418 0.38693046 0.38526068 0.38529196 0.38550002],[2.6299138  2.64104538 2.70480485 2.70618101 2.65544328]
18,"[1.43998332e-10 1.79886424e-10 1.64296869e-10 2.19856033e-10
 2.46601539e-10]",[0.08878002 0.08970834 0.09212178 0.09224303 0.09035819],[1.34085165 1.3714095  1.35717625 1.43417572 1.4496191 ],[0.51908961 0.51685875 0.52079261 0.52104426 0.51604512],[0.38387154 0.38743221 0.3981496  0.39829619 0.38988081],[0.34835482 0.35074001 0.35347781 0.35354024 0.35107698],[2.80949253 2.80405433 2.85347667 2.85471792 2.8130116 ]
19,"[1.22697265e-10 1.58180372e-10 1.54304953e-10 2.06748154e-10
 2.20545071e-10]",[0.09992919 0.10092744 0.10093567 0.10100964 0.1011354 ],[1.29126649 1.3581621  1.37422096 1.44653915 1.44101073],[0.51827586 0.51828119 0.5210568  0.52127849 0.51932155],[0.42489772 0.4276132  0.42703418 0.42698337 0.42782557],[0.37115088 0.37203103 0.36714989 0.36705216 0.37131294],[2.83851415 2.85543849 2.90780711 2.9088672  2.86815817]
20,"[1.09437904e-10 1.48497056e-10 1.51036117e-10 2.02469785e-10
 2.10119425e-10]",[0.10370275 0.10311921 0.10388879 0.10399974 0.10329292],[1.05867328 1.11318442 1.13642301 1.19493915 1.1834649 ],[0.50908617 0.50525236 0.50840177 0.50888989 0.50744235],[0.43892704 0.43847638 0.4439401  0.44406931 0.43978174],[0.38419273 0.38381028 0.38930714 0.38941617 0.3850967 ],[2.64475522 2.65189588 2.70376883 2.70488991 2.66350666]
21,"[1.25194106e-10 1.67017706e-10 1.64705363e-10 2.20667676e-10
 2.34370777e-10]",[0.09482076 0.09534222 0.09705481 0.09716547 0.09582215],[1.18823958 1.24841541 1.26424442 1.33143469 1.32696623],[0.50847266 0.51031244 0.51069665 0.51094578 0.51006507],[0.41047059 0.41308065 0.41955629 0.4197079  0.41451297],[0.3650874  0.36638685 0.36661048 0.36658002 0.36655016],[2.66337976 2.66997597 2.73033325 2.73165743 2.68320334]
22,"[9.51329735e-11 1.20754502e-10 1.15404793e-10 1.54576042e-10
 1.67347443e-10]",[0.10275826 0.10209378 0.1032921  0.10344185 0.10234969],[1.10343492 1.16983277 1.20090803 1.27467988 1.2574897 ],[0.51930405 0.51510548 0.52111405 0.5213765  0.51797659],[0.43775231 0.43746055 0.44389431 0.4440045  0.43875499],[0.37863675 0.38201208 0.39001634 0.3902448  0.38388112],[2.63315214 2.66583146 2.78514096 2.78755707 2.69439177]
23,"[8.60656828e-11 1.10882109e-10 1.10878685e-10 1.48650106e-10
 1.55358115e-10]",[0.09318802 0.09313183 0.09543268 0.09559558 0.09370148],[1.23826503 1.30517112 1.30880297 1.39845514 1.40778866],[0.53179085 0.52937278 0.53377585 0.53376256 0.53097354],[0.40059508 0.4004608  0.41074188 0.41092811 0.40307868],[0.33870388 0.33543841 0.34328606 0.34346115 0.33654978],[2.95743596 2.96117825 3.01739266 3.01858311 2.9736925 ]
24,"[1.08496525e-10 1.40357422e-10 1.34840896e-10 1.80596841e-10
 1.95189609e-10]",[0.0936377  0.09212497 0.09327181 0.0934027  0.09223966],[1.33584049 1.40313452 1.40096006 1.48913172 1.50078101],[0.53020373 0.52416902 0.52675461 0.52698999 0.52364135],[0.40173739 0.39662195 0.40187209 0.4021188  0.39710553],[0.33798421 0.33615798 0.3436444  0.34381197 0.33735992],[2.93150093 2.91389292 2.94756687 2.94853995 2.91828663]
25,"[9.23962757e-11 1.17761958e-10 1.11291157e-10 1.49020312e-10
 1.62929376e-10]",[0.09838835 0.09771866 0.09829032 0.09842336 0.09784705],[1.15873698 1.22590098 1.23959777 1.32174819 1.31867941],[0.52307785 0.52288632 0.52679641 0.52708221 0.52311875],[0.4240109  0.4213061  0.42300708 0.42291572 0.42161104],[0.36943551 0.36521671 0.36503116 0.36495104 0.36479165],[2.71729483 2.74470698 2.82548243 2.82708897 2.76450539]
26,"[9.24189522e-11 1.20042770e-10 1.17290172e-10 1.57148371e-10
 1.67583259e-10]",[0.10540181 0.10376872 0.10395989 0.10409365 0.1037055 ],[1.10631087 1.16255058 1.18567395 1.25718842 1.24496316],[0.52010265 0.51930435 0.52251027 0.52271628 0.51837344],[0.45064883 0.44447543 0.44624703 0.44621177 0.44378887],[0.3909401  0.38711754 0.38742047 0.38747969 0.38669413],[2.74368296 2.75978864 2.83405288 2.83562588 2.77678232]
27,"[7.63513342e-11 1.00397087e-10 9.87698588e-11 1.32339228e-10
 1.40566580e-10]",[0.10258421 0.09899132 0.09712912 0.09724586 0.09828318],[1.0459117  1.12159027 1.1666103  1.25089481 1.22145188],[0.51824522 0.51570163 0.52075427 0.52101851 0.51604286],[0.4441302  0.43004688 0.42285759 0.42292464 0.42706851],[0.38916497 0.37884796 0.37040667 0.37029069 0.37633969],[2.69585526 2.7318725  2.82715735 2.82903578 2.75565253]
28,"[1.14514604e-10 1.57356895e-10 1.58582603e-10 2.12516372e-10
 2.22571550e-10]",[0.07854587 0.07673985 0.07802957 0.07813852 0.07684813],[1.684314   1.79706147 1.7573168  1.88041791 1.93403515],[0.53181851 0.53021214 0.53047078 0.53071675 0.52965247],[0.31802947 0.30929237 0.31795574 0.31843206 0.30966536],[0.26304953 0.25506062 0.26434922 0.26464971 0.25580693],[3.16069103 3.11216275 3.09471642 3.09475257 3.10264339]
29,"[1.54537417e-10 2.16202547e-10 2.19790738e-10 2.94554434e-10
 3.06988393e-10]",[0.15047431 0.15394295 0.15440478 0.15447564 0.15451998],[1.58727297 1.62224628 1.63018999 1.66359349 1.6607041 ],[0.58758264 0.58806837 0.58714036 0.58713154 0.58762373],[0.54610884 0.5524019  0.55554341 0.55578964 0.55240241],[0.45298835 0.45930096 0.4623287  0.46236605 0.46025563],[3.88479861 3.90434184 3.90812991 3.90806442 3.90714922]
30,"[1.31918335e-10 1.65606319e-10 1.51593953e-10 2.02859012e-10
 2.27270830e-10]",[0.10068755 0.1087516  0.11777089 0.11800927 0.1116207 ],[1.96231674 1.95991379 1.82992246 1.90561208 2.01711547],[0.57088828 0.57525907 0.5771304  0.57735368 0.57596009],[0.42362569 0.45248236 0.48253908 0.48315503 0.46170025],[0.34324115 0.36725959 0.39665159 0.39711845 0.37559564],[3.56778236 3.63335728 3.67849453 3.67897288 3.65027559]
31,"[1.20912284e-10 1.72112578e-10 1.79901626e-10 2.41216149e-10
 2.46272326e-10]",[0.13450588 0.13605803 0.13481864 0.134873   0.13607165],[1.61889611 1.68060584 1.68874164 1.74006305 1.74076788],[0.57619561 0.57726028 0.57403396 0.57384422 0.5773272 ],[0.5191443  0.52338042 0.52671756 0.52694387 0.52385295],[0.41028726 0.41667016 0.42575053 0.42586841 0.41917914],[3.77244192 3.79164303 3.77873786 3.77830527 3.79085579]
32,"[1.90755832e-10 2.78877585e-10 2.92688244e-10 3.92394401e-10
 4.00560643e-10]",[0.07476852 0.07468761 0.07575467 0.07581283 0.07493461],[2.04694594 2.17732679 2.13675999 2.24356565 2.29870158],[0.53858595 0.53584711 0.53641859 0.5363883  0.5347978 ],[0.30995725 0.30874988 0.31526772 0.31548479 0.3100455 ],[0.26160788 0.26078517 0.26862386 0.26888538 0.26195844],[3.21879459 3.17001288 3.13167523 3.13122952 3.15621446]
33,"[4.40334293e-10 6.46326754e-10 6.54932333e-10 8.77289431e-10
 9.22080184e-10]",[0.0498133  0.05010803 0.05230032 0.05235917 0.0506008 ],[3.21529173 3.42875066 3.31398697 3.47204612 3.6043672 ],[0.54388819 0.54321251 0.54161087 0.54188072 0.54322723],[0.18040236 0.18184097 0.19234887 0.19262433 0.18418532],[0.15415721 0.15915664 0.17099807 0.17126056 0.1620495 ],[2.71151181 2.71996071 2.76673738 2.76771833 2.73080701]
34,"[6.94438664e-11 1.03792086e-10 1.18424364e-10 1.59034462e-10
 1.52138330e-10]",[0.10484714 0.10456659 0.10588948 0.10603342 0.10495145],[1.13377858 1.21692475 1.23333381 1.30515942 1.3073719 ],[0.52688762 0.51957266 0.51912616 0.51887816 0.51794051],[0.44378159 0.44334001 0.45031675 0.45045578 0.4449765 ],[0.37629943 0.38137309 0.3872992  0.38737623 0.38348675],[3.05859683 2.96509793 2.90720832 2.90665873 2.94233742]
35,"[4.76988844e-11 7.05775098e-11 7.91755013e-11 1.06294671e-10
 1.02958820e-10]",[0.10890264 0.10843625 0.10897343 0.1091629  0.10868644],[0.91051641 1.00698351 1.06242883 1.13832232 1.10807541],[0.52608428 0.52258618 0.5267311  0.52672126 0.52542028],[0.46224547 0.46049952 0.46418748 0.46446124 0.4608388 ],[0.38008642 0.38152247 0.3898334  0.38999383 0.38317413],[2.99328175 2.947405   2.95587571 2.9563925  2.94436313]
36,"[4.60371791e-11 6.69625962e-11 7.41917840e-11 9.95907595e-11
 9.72416482e-11]",[0.11478407 0.11288056 0.11354344 0.11376673 0.11301614],[0.88789929 0.98354373 1.04759638 1.12173242 1.0840934 ],[0.52051826 0.51856488 0.52274053 0.52300429 0.51724594],[0.4899029  0.48235802 0.48474965 0.4848015  0.4825814 ],[0.42409964 0.42107172 0.42225557 0.42226282 0.421716  ],[2.94984176 2.9369767  2.98033407 2.98136301 2.94499167]
37,"[5.17362247e-11 7.73079198e-11 9.01350845e-11 1.21100493e-10
 1.13865258e-10]",[0.11191648 0.11053554 0.11156461 0.11175347 0.1107914 ],[0.96037718 1.04961919 1.10580669 1.17749421 1.14739756],[0.52587928 0.5231108  0.52589016 0.52616694 0.52211067],[0.47530624 0.47008687 0.47397958 0.47429454 0.47051163],[0.3935595  0.39464661 0.40192317 0.4020177  0.39670871],[3.01149011 2.93886202 2.94430805 2.94492638 2.93250664]
38,"[5.60389708e-11 8.74578197e-11 1.04553057e-10 1.40501504e-10
 1.30119506e-10]",[0.10793737 0.10632692 0.10704657 0.10720179 0.10647269],[0.99361014 1.06981881 1.1158283  1.18556574 1.16235896],[0.52860186 0.5222544  0.52094641 0.52064999 0.52272795],[0.44831233 0.44421343 0.44855066 0.44869055 0.44490405],[0.36201641 0.36241941 0.36458417 0.36465994 0.36284987],[3.0181258  2.9081011  2.86779233 2.86771208 2.88768985]
39,"[4.34833777e-11 6.53440487e-11 7.65740400e-11 1.02887009e-10
 9.64100867e-11]",[0.09567343 0.09448949 0.09501769 0.09519411 0.09465462],[0.9778039  1.09118807 1.15980866 1.25673292 1.21983688],[0.52837585 0.52533473 0.52816605 0.5281636  0.52687041],[0.4029288  0.39568398 0.40106243 0.40151045 0.39575427],[0.32688951 0.3159463  0.32480277 0.32495533 0.31655407],[3.05808428 3.00733843 3.01451735 3.01499728 3.0038778 ]
40,"[1.17983414e-10 1.51522636e-10 1.42120182e-10 1.90249605e-10
 2.09538226e-10]",[0.07836002 0.08301081 0.089392   0.0895804  0.08492578],[1.60883645 1.67076645 1.59444554 1.69530206 1.77389519],[0.52519737 0.52325763 0.52616418 0.52591551 0.52456282],[0.30960468 0.33202969 0.36631566 0.36689982 0.34130724],[0.23906983 0.25768285 0.28980282 0.29034734 0.26636818],[3.13263353 3.11629546 3.12224103 3.12251523 3.11564864]
41,"[1.08897502e-10 1.38051450e-10 1.30711937e-10 1.75041479e-10
 1.90937613e-10]",[0.12982577 0.13821922 0.14425937 0.14446313 0.14059745],[1.6354951  1.63928614 1.58331288 1.63766035 1.68495982],[0.57461434 0.57757488 0.57757189 0.57780812 0.5780155 ],[0.48217594 0.50366326 0.5247335  0.52514453 0.51162865],[0.37627991 0.40041152 0.42485656 0.42537731 0.40807729],[3.74065849 3.79823771 3.81796206 3.81793413 3.80883374]
42,"[1.27333890e-10 1.70886416e-10 1.68046147e-10 2.25116584e-10
 2.39838688e-10]",[0.08188785 0.08382896 0.08811935 0.08826883 0.08499538],[1.8941603  2.01992962 1.95351945 2.06733822 2.1463829 ],[0.55594471 0.55622826 0.55593031 0.55616172 0.55774509],[0.34627701 0.35581699 0.37592511 0.37638672 0.36116692],[0.28679115 0.29458986 0.31288317 0.31326444 0.29901037],[3.19304325 3.21833962 3.25740959 3.25804149 3.22975711]
43,"[1.15506519e-10 1.53322465e-10 1.51504544e-10 2.03000933e-10
 2.15107491e-10]",[0.11565239 0.12132299 0.12499133 0.12513133 0.12284429],[1.70889534 1.7497219  1.71434365 1.78061912 1.81626631],[0.57218338 0.57311833 0.57108841 0.5708637  0.5722396 ],[0.46206417 0.47837893 0.48911909 0.48915303 0.48202482],[0.37933806 0.3900392  0.39701594 0.39704006 0.39267495],[3.61200831 3.64519119 3.64971119 3.64953437 3.64987689]
44,"[7.34938107e-11 1.03539536e-10 1.09575711e-10 1.46975735e-10
 1.48364154e-10]",[0.13628511 0.14112509 0.14322156 0.14339622 0.14227399],[1.49351277 1.57164757 1.57534206 1.63853815 1.64719464],[0.58281565 0.58392022 0.58348724 0.58326667 0.58213209],[0.54346705 0.55302972 0.55676041 0.55658985 0.55490191],[0.4714486  0.47857602 0.47990152 0.47987409 0.47965531],[3.64403944 3.65681335 3.6549976  3.65486366 3.65777358]
45,"[1.30272081e-10 1.68950515e-10 1.64646708e-10 2.20587671e-10
 2.35693303e-10]",[0.12032029 0.12571614 0.13064408 0.13081061 0.12746868],[1.7252183  1.75076646 1.70664084 1.76426269 1.80540268],[0.57221291 0.57123184 0.57565449 0.57587856 0.57353806],[0.4776446  0.49155692 0.50693134 0.50729851 0.49576061],[0.390407   0.40091471 0.41644866 0.41671738 0.40536569],[3.69198568 3.73754776 3.7721306  3.77253418 3.74997204]
46,"[2.13268341e-10 2.85816045e-10 2.74929148e-10 3.68107567e-10
 3.99326878e-10]",[0.12089493 0.12425015 0.12727291 0.12737417 0.12530645],[1.95865188 1.98868296 1.9493062  1.99460366 2.03056273],[0.57839376 0.57814925 0.58195495 0.58195449 0.5792557 ],[0.4470048  0.45876845 0.47334235 0.4738233  0.46226809],[0.34716156 0.36173047 0.3787182  0.37907913 0.36660316],[3.80495589 3.83127095 3.84522196 3.84532644 3.83707908]
47,"[2.07580362e-10 2.82838869e-10 2.84447846e-10 3.81198730e-10
 3.99488826e-10]",[0.12046586 0.12252622 0.12486174 0.12495391 0.12329945],[1.92566096 1.97126654 1.94799413 1.99369544 2.01922992],[0.58232215 0.58073524 0.58087207 0.5808822  0.58170315],[0.46867758 0.47916664 0.48876887 0.48906489 0.48244634],[0.35800635 0.36653913 0.37749666 0.37766045 0.36950538],[3.76533245 3.77713531 3.77579985 3.77565849 3.77828329]
48,"[1.15012936e-10 1.55738293e-10 1.58283722e-10 2.12185454e-10
 2.20277390e-10]",[0.09580509 0.09747667 0.0992145  0.09931953 0.09811015],[1.68529948 1.78805802 1.75373657 1.84516302 1.89047744],[0.55506117 0.55640538 0.55485549 0.55486108 0.55568785],[0.40988693 0.41615428 0.42428947 0.42449628 0.41853893],[0.35322143 0.3581433  0.36570088 0.36583694 0.36043189],[3.33486829 3.35180024 3.33516432 3.33461036 3.35057229]
49,"[1.38282029e-10 1.71005757e-10 1.62291289e-10 2.17399338e-10
 2.35847626e-10]",[0.08578495 0.09237701 0.09732738 0.09745572 0.09428004],[1.83913845 1.84917831 1.76476447 1.85742649 1.93214744],[0.55209187 0.55235315 0.55139949 0.55162699 0.55328006],[0.35154376 0.37470411 0.39361337 0.39387262 0.38129199],[0.27372844 0.29438096 0.31405495 0.31428954 0.30138629],[3.3103849  3.33387208 3.34311287 3.34312849 3.33847864]
50,"[5.39040491e-11 8.31778147e-11 9.66918353e-11 1.29871451e-10
 1.22831178e-10]",[0.10600714 0.10608102 0.1075063  0.10767731 0.10655923],[1.02148096 1.11396885 1.14291983 1.21674891 1.20999711],[0.53133316 0.52337415 0.52226395 0.52177208 0.52132377],[0.45704507 0.45704832 0.46210594 0.46215501 0.45859558],[0.39014853 0.39598535 0.40411576 0.40418646 0.39925339],[3.07410739 3.00184954 2.95450127 2.95399289 2.98402153]
51,"[5.25412469e-11 7.40915175e-11 7.95819093e-11 1.06778974e-10
 1.06512642e-10]",[0.10335089 0.10381436 0.10400988 0.10417641 0.10407732],[1.01936344 1.11139555 1.14378661 1.22901629 1.21683266],[0.52637514 0.52273743 0.52425553 0.52397013 0.52375534],[0.44370112 0.44108863 0.44032365 0.44039662 0.44099812],[0.37660045 0.37562132 0.37514753 0.37515721 0.37568328],[3.06112239 3.02174054 3.00995957 3.01001935 3.01476746]
52,"[5.07706904e-11 7.64018518e-11 8.78029399e-11 1.17924460e-10
 1.12248797e-10]",[0.11571745 0.11429367 0.11469187 0.11487645 0.11440887],[0.92141156 1.00765935 1.04933918 1.11591133 1.09633077],[0.52408313 0.52038107 0.52445446 0.52446083 0.5218749 ],[0.49140608 0.48642622 0.4852172  0.48535512 0.4857088 ],[0.43018978 0.42027294 0.41531598 0.41529993 0.41826504],[2.95123962 2.9026513  2.8974283  2.89765865 2.89638898]
53,"[5.94659669e-11 9.55517030e-11 1.19304420e-10 1.60436613e-10
 1.44010641e-10]",[0.11668766 0.11515103 0.11545333 0.11559237 0.11521376],[0.961784   1.04610371 1.09264683 1.14973265 1.12752122],[0.52297404 0.51622796 0.51781363 0.51780895 0.51704337],[0.49029762 0.48555497 0.48838622 0.4884421  0.48636343],[0.4222044  0.41485038 0.42179092 0.4219319  0.41667174],[2.93665486 2.84320049 2.80320936 2.80301067 2.82471252]
54,"[5.28051981e-11 8.10214879e-11 9.78878878e-11 1.31588572e-10
 1.20633135e-10]",[0.11030383 0.10820285 0.1088292  0.10899702 0.1082891 ],[0.96374584 1.06891603 1.11578548 1.18652531 1.16732391],[0.52814183 0.52646177 0.52505458 0.52505915 0.52722251],[0.46799209 0.45978765 0.4633243  0.46352524 0.46040241],[0.3908781  0.3823094  0.38723196 0.38735354 0.38333916],[3.04435065 2.99525665 2.95127459 2.95070065 2.98009086]
55,"[4.94102667e-11 6.93797863e-11 7.51507511e-11 1.00856136e-10
 9.98704924e-11]",[0.11131361 0.10958104 0.10980123 0.1100058  0.10961872],[0.9132083  1.00265769 1.05571004 1.13253466 1.10268535],[0.52687413 0.52402735 0.52633712 0.52608359 0.52560346],[0.47128778 0.46533803 0.46838165 0.4685705  0.4657456 ],[0.39590767 0.39238449 0.39679906 0.39695398 0.39302294],[3.01358427 3.0022797  3.03636823 3.0371963  3.00832023]
56,"[4.41603979e-11 6.29114019e-11 6.96589825e-11 9.35202308e-11
 9.11376543e-11]",[0.1060293  0.10339118 0.1035231  0.10373569 0.1033163 ],[0.92826659 1.03685539 1.1097371  1.19901115 1.15598111],[0.529526   0.53035089 0.53363896 0.53387142 0.5310462 ],[0.44955212 0.44059035 0.44432427 0.44445701 0.44014876],[0.363466   0.35719522 0.36573383 0.36595249 0.35843437],[3.09172666 3.07596336 3.10561893 3.10640744 3.08036503]
57,"[3.56210289e-10 5.12411718e-10 5.08062992e-10 6.80316229e-10
 7.26221506e-10]",[0.04878994 0.04863094 0.05035175 0.05040661 0.04897263],[2.92211845 3.19943548 3.13127194 3.31754355 3.41987104],[0.53799628 0.53587901 0.53712713 0.53685756 0.53515005],[0.15899283 0.15818417 0.1680494  0.16836481 0.16011182],[0.12286335 0.12360219 0.13674346 0.13704702 0.12641192],[2.68833176 2.68078688 2.72308957 2.72411742 2.68876634]
