epoch,hjorth_activity,hjorth_mobility,hjorth_complexity,perm_entropy,approx_entropy,sample_entropy,shannon_entropy
10,"[3.09435888e-10 6.13943138e-10 6.36446711e-10 6.14871992e-10
 6.09519746e-10]",[0.12461678 0.12491156 0.12614499 0.12998273 0.13228112],[1.95342529 2.03916842 2.03173123 1.98479875 1.94152669],[0.57904239 0.57882818 0.57906953 0.57903896 0.58127691],[0.50348286 0.50417361 0.50661292 0.5145754  0.51933436],[0.41968639 0.42000578 0.42237741 0.43002828 0.43554772],[3.59112375 3.59495335 3.61924806 3.69677281 3.7421682 ]
11,"[4.31123535e-10 8.56475420e-10 8.94367532e-10 8.74444510e-10
 8.56204107e-10]",[0.13698863 0.13699256 0.13649949 0.13449805 0.13241873],[1.90741746 1.96191915 1.97310037 1.99861162 2.01187656],[0.58658145 0.58658524 0.58656345 0.58639598 0.58374838],[0.5281304  0.52763741 0.52649258 0.52131929 0.51453233],[0.43348813 0.43345109 0.43322939 0.43068076 0.42675188],[3.80310579 3.80403959 3.80961864 3.82266123 3.82253348]
12,"[3.29774745e-10 6.54365580e-10 6.79289883e-10 6.66457675e-10
 6.79709013e-10]",[0.12068051 0.12077157 0.12076436 0.12051157 0.11998971],[1.99690862 2.08712303 2.09473926 2.09268803 2.07143543],[0.5790728  0.57907355 0.57927958 0.57748112 0.57543022],[0.47361149 0.47269905 0.47073047 0.46367615 0.46058952],[0.38011184 0.37940061 0.37592745 0.36880268 0.36956666],[3.62004308 3.62194443 3.63425132 3.674764   3.68974198]
13,"[3.44042995e-10 6.82684692e-10 7.07641899e-10 6.75056217e-10
 6.49164931e-10]",[0.13611791 0.1359702  0.13436848 0.12843635 0.12318551],[1.86987284 1.93724992 1.95700895 2.01047561 2.04153203],[0.58539372 0.58518489 0.58408449 0.5822109  0.57894242],[0.52757767 0.52726699 0.52400145 0.50707773 0.4871665 ],[0.43100296 0.43071169 0.42850915 0.42028593 0.40829183],[3.68952102 3.68953302 3.6894177  3.68572592 3.6751378 ]
14,"[2.49195971e-10 4.93909241e-10 5.09568386e-10 4.97984230e-10
 5.20407010e-10]",[0.12533181 0.1256078  0.12655495 0.12919481 0.13008375],[1.8195104  1.91639037 1.91812008 1.90699749 1.90253707],[0.5724756  0.5729278  0.57459491 0.57790164 0.57792303],[0.49404354 0.49413156 0.49700796 0.50580041 0.5099575 ],[0.40133064 0.40185966 0.40491162 0.41443017 0.42096202],[3.56006633 3.56283478 3.58058609 3.63901973 3.6737527 ]
15,"[2.44858491e-10 4.87081138e-10 5.13388672e-10 5.24386878e-10
 5.41254030e-10]",[0.17770213 0.1782011  0.18007097 0.18399321 0.18357535],[1.49503098 1.53610795 1.52853039 1.5080131  1.51015718],[0.58925194 0.58901827 0.59033029 0.59068831 0.58760684],[0.60272675 0.60322534 0.60396266 0.60710179 0.60797556],[0.52098232 0.52115778 0.52264834 0.52411969 0.5254055 ],[3.93565701 3.9375628  3.94869018 3.97553808 3.98510861]
16,"[2.43021107e-10 4.81706398e-10 4.96866717e-10 4.80593812e-10
 4.91307017e-10]",[0.12866036 0.12901862 0.13046756 0.13498138 0.1374697 ],[1.84532059 1.94027552 1.93557766 1.89592113 1.86144007],[0.57849266 0.57803091 0.57962378 0.5822649  0.57957675],[0.51533173 0.51581058 0.51940767 0.52990133 0.53447428],[0.42999576 0.43018206 0.43194238 0.43777312 0.44216015],[3.56180531 3.56526293 3.58783866 3.66757919 3.7216664 ]
17,"[3.63092280e-10 7.19115897e-10 7.37775128e-10 7.00078799e-10
 7.05673681e-10]",[0.12154396 0.12186441 0.12338605 0.12830834 0.13123268],[1.94821717 2.02484324 2.01140517 1.94645957 1.89490967],[0.57818395 0.57796752 0.57726664 0.57702726 0.57802148],[0.48329488 0.48417481 0.48931246 0.50497735 0.51409505],[0.39340066 0.39409834 0.39868122 0.41593553 0.42742178],[3.49565662 3.50079759 3.53386916 3.64163072 3.70070098]
18,"[4.49634365e-10 8.93474385e-10 9.35152391e-10 9.30635215e-10
 9.38507460e-10]",[0.09302483 0.09306037 0.09308274 0.09485643 0.09877232],[2.3749447  2.50728528 2.53076058 2.5273973  2.43894016],[0.57084341 0.57225432 0.57265692 0.57543001 0.57430057],[0.38871484 0.38843893 0.38705786 0.39103121 0.4079769 ],[0.32199113 0.32138109 0.31817757 0.3168006  0.32945527],[3.38198237 3.38381482 3.39654866 3.45411223 3.51360282]
19,"[3.04069552e-10 6.04187393e-10 6.32401369e-10 6.33214484e-10
 6.47509276e-10]",[0.12306798 0.12297654 0.12172929 0.11720672 0.11346226],[1.93911847 2.03256232 2.05772256 2.12129377 2.15363067],[0.57971658 0.5797345  0.57813638 0.57562241 0.57222564],[0.46706288 0.4663092  0.46382672 0.45913579 0.45662875],[0.380202   0.37980857 0.37797806 0.37623679 0.37859925],[3.55418146 3.55303381 3.54578426 3.52544054 3.51681729]
20,"[9.34548174e-10 1.87045061e-09 2.04295663e-09 2.25712311e-09
 2.34513112e-09]",[0.06516266 0.06499188 0.06390968 0.06161626 0.06147604],[3.55778114 3.76097198 3.83909537 3.96731181 3.92117935],[0.5818494  0.58155516 0.5811152  0.57626608 0.57434447],[0.2553991  0.25432053 0.24879183 0.23690154 0.23772563],[0.21399706 0.21301331 0.20797767 0.19800509 0.20032631],[2.83704403 2.83256568 2.80753265 2.76745391 2.79163884]
21,"[7.76407793e-10 1.55308328e-09 1.69246578e-09 1.88395771e-09
 2.00994326e-09]",[0.07243467 0.07222409 0.07085129 0.06762635 0.06683749],[3.06543222 3.23544751 3.2959425  3.38811006 3.33860667],[0.57522754 0.575476   0.57508626 0.57112754 0.56683715],[0.27935907 0.27797717 0.27054992 0.25391025 0.25300826],[0.22917952 0.2280667  0.22141704 0.20750759 0.20775702],[2.69594629 2.69069888 2.66137421 2.61460536 2.64167143]
22,"[1.88704798e-10 3.73520183e-10 3.82729895e-10 3.74908222e-10
 4.08173292e-10]",[0.11060556 0.11074561 0.11068067 0.10993479 0.10873913],[1.84743714 2.0023704  2.020822   2.04986159 2.05982209],[0.57018015 0.57017556 0.57112946 0.57382571 0.56993747],[0.45669256 0.45605295 0.45429911 0.44578984 0.44120807],[0.38202973 0.38155224 0.37871427 0.36880524 0.36378989],[3.43795422 3.44033721 3.45562869 3.50024989 3.50750967]
23,"[2.24198972e-10 4.44298630e-10 4.58253124e-10 4.52009342e-10
 4.82744895e-10]",[0.09632931 0.0963864  0.09615234 0.09647736 0.09839156],[2.06066805 2.24933808 2.27106128 2.25437544 2.16379313],[0.56576844 0.56506004 0.56575866 0.56672274 0.55982472],[0.4144014  0.41388529 0.41209601 0.40966417 0.41666643],[0.35756384 0.35702488 0.35352636 0.34538331 0.34970989],[3.25736639 3.25760532 3.26069015 3.28649637 3.30426799]
24,"[2.42063713e-10 4.78950737e-10 4.88353229e-10 4.54195507e-10
 4.52766033e-10]",[0.08908929 0.08902038 0.08804827 0.08569469 0.08604084],[2.07689375 2.28079513 2.31605598 2.36593988 2.33398876],[0.55937234 0.55962029 0.56148598 0.56404042 0.56429058],[0.37703842 0.37619425 0.37091239 0.36097211 0.36461472],[0.3269416  0.3259746  0.31995183 0.30651962 0.30698184],[3.24389134 3.24382819 3.24383519 3.24676466 3.24938792]
25,"[1.72468451e-10 3.40664418e-10 3.45544991e-10 3.45075698e-10
 4.10000272e-10]",[0.09625671 0.09625838 0.09536334 0.0924165  0.09130144],[1.81863466 2.02105356 2.04819614 2.08077535 2.0593407 ],[0.56217541 0.56240371 0.56266636 0.56263802 0.55861521],[0.41042774 0.40998259 0.40721333 0.395431   0.39096373],[0.34914713 0.34881647 0.34671261 0.33650968 0.32853255],[3.18865294 3.18764768 3.18215476 3.17020483 3.15668279]
26,"[3.15497751e-10 6.27486916e-10 6.60016966e-10 6.61347045e-10
 6.60034777e-10]",[0.09766062 0.09766077 0.09720636 0.09607356 0.09585959],[2.35876506 2.52067609 2.54626454 2.57911871 2.5632725 ],[0.57731001 0.5779757  0.57846912 0.58110278 0.5794551 ],[0.41035104 0.41025703 0.40775578 0.40400371 0.4045967 ],[0.3444702  0.34417708 0.34242044 0.33827893 0.33868115],[3.40104865 3.40166579 3.40594663 3.42605981 3.45170262]
27,"[2.31518567e-10 4.59237448e-10 4.75864441e-10 4.66820358e-10
 4.80674506e-10]",[0.11665207 0.11693443 0.11790592 0.12051292 0.12129464],[1.97386303 2.09978878 2.09745581 2.06207681 2.03162734],[0.58067189 0.58069038 0.58293276 0.57918235 0.57642386],[0.48395051 0.48446471 0.48649488 0.48912021 0.4905518 ],[0.40744958 0.40752021 0.40698558 0.40564439 0.40263185],[3.57600776 3.58013828 3.60583293 3.6772576  3.69774191]
28,"[2.73643532e-10 5.44642123e-10 5.76527389e-10 6.03702148e-10
 6.44483107e-10]",[0.09349263 0.09336579 0.09203495 0.08790714 0.08548786],[2.28059346 2.47223311 2.52249802 2.63656486 2.67636484],[0.56960807 0.57005613 0.57005681 0.57302683 0.57390263],[0.38977405 0.38909017 0.38413394 0.36511022 0.35508359],[0.32551207 0.32456019 0.31827598 0.30021099 0.29314562],[3.29696538 3.2966243  3.29478741 3.2954     3.30778724]
29,"[1.98783391e-10 3.94436776e-10 4.10550933e-10 4.22319754e-10
 4.70537287e-10]",[0.10324969 0.10321792 0.10215118 0.09815603 0.09518174],[1.92505906 2.09999583 2.13332419 2.20381098 2.22517066],[0.57078551 0.57055037 0.57258113 0.57166364 0.56796442],[0.43439752 0.4335292  0.42771753 0.40929085 0.39799143],[0.36473397 0.36392692 0.35887798 0.34071337 0.32723331],[3.33455321 3.335726   3.3428294  3.35915876 3.35522796]
30,"[1.54043911e-10 3.03792653e-10 3.03848473e-10 2.74050353e-10
 2.85564204e-10]",[0.1024194  0.10235033 0.10089202 0.09709714 0.09765918],[1.83042274 2.03415454 2.07399694 2.12201428 2.04447751],[0.56800405 0.56891808 0.5696228  0.57005997 0.56453091],[0.44249378 0.4418317  0.43586023 0.41868453 0.42066325],[0.38794165 0.3871239  0.38125407 0.36866679 0.36844003],[3.32164881 3.32087175 3.31767257 3.33832633 3.3773552 ]
31,"[1.41875055e-10 2.80683087e-10 2.86786325e-10 2.80076455e-10
 3.07498185e-10]",[0.10428941 0.10431074 0.10331506 0.10066565 0.10044896],[1.83236524 2.04067379 2.06640417 2.07080109 2.00126918],[0.57041661 0.57017994 0.5712302  0.57313865 0.57108418],[0.44937749 0.44909296 0.44512788 0.43262032 0.42496165],[0.38794774 0.38759224 0.38464671 0.37310669 0.36288129],[3.33089844 3.32963009 3.32253846 3.30842508 3.28941457]
32,"[1.45910850e-10 2.84702413e-10 2.69171102e-10 2.59382215e-10
 3.96471020e-10]",[0.11671994 0.117405   0.11988574 0.11385571 0.09432999],[1.71101852 1.86264445 1.83391153 1.89310008 2.1716534 ],[0.56881754 0.56812881 0.57040627 0.56970848 0.56502698],[0.49374483 0.49489002 0.50160069 0.4763431  0.39681035],[0.4329333  0.43458844 0.44169417 0.41904711 0.34443619],[3.3597433  3.36320624 3.38683961 3.44829807 3.36261315]
33,"[2.74232596e-10 5.45337652e-10 5.77314033e-10 6.50232786e-10
 7.98733886e-10]",[0.10196787 0.10180141 0.0999126  0.09099155 0.08239199],[2.09547692 2.24904878 2.30138741 2.50516757 2.69840002],[0.57074509 0.57123231 0.57191879 0.57142241 0.56886455],[0.41872642 0.41778762 0.40855558 0.36829575 0.32807293],[0.34184582 0.34077807 0.3336078  0.30001756 0.26384369],[3.43846721 3.43955637 3.44294197 3.39749018 3.28790777]
34,"[1.78175407e-10 3.51780046e-10 3.53805377e-10 3.15729102e-10
 3.10143576e-10]",[0.09935707 0.09947893 0.0994167  0.09980709 0.10118164],[1.95766788 2.15873304 2.17172822 2.14623055 2.07748459],[0.56835063 0.56811771 0.57013936 0.5678596  0.56485145],[0.41792692 0.41794485 0.41686474 0.41756212 0.42370314],[0.35587571 0.35562948 0.35425934 0.35294573 0.35703716],[3.2695742  3.27117086 3.28305283 3.34205409 3.38957722]
35,"[1.85121834e-10 3.66735954e-10 3.77910161e-10 3.78656782e-10
 4.19798515e-10]",[0.09501975 0.0949537  0.09372753 0.09005621 0.0887765 ],[1.98033322 2.19591781 2.23698118 2.29987662 2.27032356],[0.56429746 0.56449948 0.56585702 0.56515446 0.56193528],[0.40907172 0.40809887 0.40152874 0.38307453 0.3773394 ],[0.35025721 0.34912319 0.34176124 0.32277479 0.31808386],[3.22719441 3.22687814 3.22526467 3.22751259 3.23266188]
36,"[1.39969064e-10 2.75335807e-10 2.71025642e-10 2.34472819e-10
 2.45720292e-10]",[0.10949555 0.10976527 0.11021629 0.11067159 0.10889814],[1.68448651 1.86096968 1.86281705 1.84042729 1.84101472],[0.56726069 0.56799335 0.5691518  0.56866885 0.56489476],[0.45256704 0.45225531 0.45403973 0.45293793 0.44577645],[0.37588882 0.37610902 0.3778542  0.38109234 0.37748559],[3.27751668 3.28034541 3.29890101 3.35401102 3.34998496]
37,"[1.28517369e-10 2.53683740e-10 2.55090682e-10 2.31771503e-10
 2.37801514e-10]",[0.11602396 0.11621396 0.11596655 0.1145071  0.11271934],[1.67494166 1.84833093 1.86457235 1.88802086 1.90338938],[0.56738732 0.56788348 0.56923314 0.57141488 0.57121641],[0.46245386 0.46231749 0.46022853 0.45444674 0.45628572],[0.3945158  0.39405742 0.39184788 0.38406294 0.38549636],[3.4771999  3.47688914 3.4739834  3.45280356 3.42453413]
38,"[1.25662037e-10 2.48265520e-10 2.51299698e-10 2.36618220e-10
 2.52873251e-10]",[0.11081093 0.11095127 0.1103969  0.10763428 0.10480491],[1.7191063  1.91278047 1.9317202  1.96250575 1.98368616],[0.56372245 0.56372351 0.5651255  0.57064021 0.56834941],[0.44128774 0.44032669 0.43770342 0.42712141 0.42055585],[0.37319085 0.37272032 0.36949415 0.35480577 0.34809539],[3.32742789 3.32752398 3.32772252 3.32234022 3.31219069]
39,"[1.65799610e-10 3.27390182e-10 3.30461845e-10 3.11395794e-10
 3.38502565e-10]",[0.09922119 0.09928199 0.09870624 0.09656566 0.09527976],[1.81599387 2.0135915  2.03228952 2.04513611 2.02740046],[0.56418828 0.56394096 0.56553543 0.56522669 0.56032685],[0.41631344 0.41572684 0.41281505 0.40480883 0.39756856],[0.3544281  0.35404543 0.352017   0.34329996 0.33722897],[3.21678106 3.21646978 3.21583387 3.2331937  3.25933006]
40,"[2.73139170e-10 5.43623657e-10 5.77127359e-10 6.34808684e-10
 7.38686169e-10]",[0.09450016 0.09433693 0.09270913 0.08705293 0.08319218],[2.21534945 2.40065675 2.46357037 2.63530917 2.72118607],[0.56863065 0.56888888 0.56967883 0.5654791  0.56194461],[0.40047065 0.39937264 0.39154025 0.36272217 0.34382115],[0.32781242 0.32642942 0.31694623 0.28677554 0.27270269],[3.32653608 3.32859884 3.34199599 3.38080104 3.3797598 ]
41,"[1.72198695e-10 3.40656241e-10 3.47582173e-10 3.33108837e-10
 3.53996199e-10]",[0.09766167 0.09745146 0.09516772 0.08735413 0.08326774],[1.94726721 2.16367636 2.21950137 2.35848716 2.38803236],[0.56040735 0.56087997 0.56392267 0.56721607 0.56310434],[0.39829047 0.39689247 0.38676316 0.35514301 0.34607734],[0.34426802 0.34299409 0.33446848 0.31134907 0.30567912],[3.1918908  3.18998471 3.17884963 3.1684902  3.21507606]
42,"[1.98450228e-10 3.91945234e-10 3.96509854e-10 3.81255461e-10
 4.26826740e-10]",[0.08819068 0.08806537 0.0866165  0.0832044  0.08411094],[1.94703136 2.17317924 2.22349901 2.28961274 2.20910588],[0.55557358 0.55581642 0.55813456 0.561607   0.55827255],[0.37938466 0.37817535 0.36979725 0.34973137 0.35229517],[0.32461062 0.32355783 0.31706602 0.29704974 0.2940424 ],[3.12511876 3.12524557 3.12736382 3.15372554 3.17715123]
43,"[2.47966842e-10 4.91513637e-10 5.07137410e-10 4.92755993e-10
 5.08096013e-10]",[0.08831593 0.0882244  0.08715553 0.08484714 0.08558983],[2.15617199 2.37004715 2.42544434 2.51391854 2.45955132],[0.56042812 0.56090192 0.56228041 0.56534402 0.56181764],[0.36501594 0.36453149 0.35885436 0.34980542 0.35616589],[0.29762112 0.2968912  0.29234122 0.28554898 0.29554621],[3.31853307 3.31870562 3.31970503 3.32671729 3.33312424]
44,"[2.87643187e-10 5.70862927e-10 5.93291765e-10 5.84822945e-10
 5.99143478e-10]",[0.09851301 0.09851068 0.0979518  0.09600909 0.09461062],[2.23861275 2.40178596 2.42689016 2.45910629 2.43910536],[0.5781901  0.57822071 0.57846179 0.57681597 0.5751012 ],[0.40078257 0.40029586 0.39819838 0.39458175 0.39264782],[0.32203648 0.32191805 0.32120831 0.32370657 0.32984592],[3.49063879 3.49240003 3.50375447 3.53940425 3.53966601]
45,"[3.63188257e-10 7.23515985e-10 7.83039678e-10 1.05712570e-09
 1.58139718e-09]",[0.07912471 0.07890382 0.07667116 0.06538205 0.05629668],[2.60723517 2.83978097 2.94128218 3.41739971 3.84792664],[0.56708675 0.56709199 0.56790607 0.568314   0.56268001],[0.32607212 0.3246507  0.31328874 0.2561777  0.21128818],[0.26715948 0.26569878 0.25446325 0.20602116 0.17221824],[3.24590358 3.24568999 3.23994255 3.15978101 3.0383389 ]
46,"[2.43432963e-10 4.84311816e-10 5.14409289e-10 5.87993277e-10
 7.31629547e-10]",[0.10858303 0.10855765 0.1074604  0.10120766 0.09438743],[1.95324154 2.09382124 2.13120745 2.26395873 2.38204766],[0.57028593 0.57052679 0.57051521 0.571826   0.56722837],[0.4551002  0.45477189 0.44901646 0.41897299 0.38852073],[0.38104559 0.38022199 0.37495436 0.34795576 0.32070974],[3.45479715 3.45709003 3.47032038 3.48908922 3.45641095]
47,"[1.95770308e-10 3.85725952e-10 3.85295951e-10 3.72287071e-10
 4.48234232e-10]",[0.09488724 0.09478763 0.0931644  0.08505248 0.07825545],[1.9261702  2.12689445 2.16385084 2.28661789 2.36509701],[0.55551914 0.55503406 0.5563557  0.55483669 0.54831964],[0.37436707 0.37339734 0.36504738 0.33779542 0.32355222],[0.314617   0.31361028 0.30657161 0.28552081 0.27078217],[3.1124248  3.11268359 3.11558564 3.14155257 3.16304238]
48,"[1.27445083e-10 2.49800639e-10 2.40396988e-10 1.96971252e-10
 2.12356044e-10]",[0.09848884 0.09868445 0.0987621  0.09970108 0.10121815],[1.53187612 1.7306677  1.72964949 1.67171123 1.6292657 ],[0.54689614 0.54738794 0.54975068 0.54906985 0.5470752 ],[0.42695023 0.42709715 0.42648893 0.42884613 0.43135967],[0.36966118 0.36968377 0.36908239 0.36653799 0.36346718],[3.02569221 3.02818388 3.04746767 3.15093465 3.2040039 ]
49,"[2.63200827e-10 5.16761755e-10 5.01403478e-10 3.99834718e-10
 3.82033681e-10]",[0.07690883 0.07692306 0.07667142 0.07821644 0.08377576],[1.8442216  2.05473414 2.08195701 2.08531377 1.98985689],[0.53519067 0.53568733 0.53948878 0.54486938 0.54671648],[0.31958083 0.31901251 0.31834215 0.32733513 0.35500975],[0.2716118  0.27130442 0.26987835 0.27395863 0.29030062],[2.73210285 2.73418684 2.75383947 2.93188533 3.15459674]
50,"[1.56334871e-10 3.06391566e-10 2.95030786e-10 2.47844362e-10
 2.80145851e-10]",[0.0918019  0.09191877 0.09179814 0.09253158 0.0947288 ],[1.60386189 1.80616714 1.81933784 1.79375025 1.73818874],[0.54249681 0.54298576 0.54565803 0.54956066 0.54591652],[0.40033654 0.40028577 0.39986149 0.40142123 0.40850157],[0.35357176 0.35353574 0.35309929 0.35160905 0.34784608],[2.94078025 2.94201276 2.95405135 3.06307007 3.14522075]
51,"[1.75454825e-10 3.44782893e-10 3.39128946e-10 3.22831304e-10
 4.07896377e-10]",[0.09274455 0.09271021 0.09161661 0.08828075 0.08809561],[1.67782501 1.87036881 1.8819544  1.85154131 1.79242067],[0.54395458 0.5444438  0.54490785 0.54288678 0.53646249],[0.40169104 0.4007762  0.39483083 0.37581886 0.37063082],[0.34869814 0.34754556 0.33924645 0.31625968 0.30686858],[3.13158687 3.1300966  3.12165526 3.10621561 3.07945747]
52,"[2.09581845e-10 4.14372822e-10 4.22481640e-10 4.21864676e-10
 4.89080399e-10]",[0.08246797 0.08233256 0.08096169 0.07877024 0.08130707],[1.82177653 2.04454642 2.0844949  2.11012364 2.02511038],[0.54590753 0.54590923 0.54684335 0.54462971 0.54494295],[0.34856393 0.34740652 0.33941379 0.32167095 0.33320276],[0.29915282 0.29777112 0.28892304 0.26747421 0.27526202],[2.97902966 2.97836805 2.9775341  3.02465668 3.07582759]
53,"[1.28645222e-10 2.52158343e-10 2.42354830e-10 1.92239634e-10
 1.94621309e-10]",[0.08470228 0.0849983  0.0861167  0.09387669 0.10330041],[1.65984651 1.91980186 1.9141911  1.78087266 1.64924588],[0.54713888 0.54787307 0.54979875 0.55243031 0.54934024],[0.35654239 0.35729188 0.36171948 0.39807233 0.43771509],[0.30302417 0.3034829  0.30790957 0.34072254 0.36617447],[2.77571187 2.77738073 2.79680901 3.00823634 3.23848342]
54,"[2.83869846e-10 5.55743170e-10 5.28747082e-10 3.89320091e-10
 3.54962763e-10]",[0.07836981 0.07854083 0.07935619 0.08472399 0.09173634],[1.78006241 1.96279834 1.95784489 1.86721337 1.76709945],[0.54270425 0.54201064 0.54105848 0.54524502 0.54630185],[0.32039448 0.3206029  0.32410781 0.34833438 0.37573817],[0.2427397  0.24320042 0.24702323 0.26989155 0.29831208],[2.44205643 2.44742398 2.48969176 2.75277962 3.0216075 ]
55,"[2.56205412e-10 5.11827271e-10 5.57801076e-10 6.84119740e-10
 8.74735325e-10]",[0.08290234 0.08259339 0.08021521 0.07425618 0.07274187],[2.22836956 2.47290144 2.57837789 2.77263643 2.71363898],[0.55111927 0.55227945 0.55228707 0.55173246 0.55206632],[0.33283926 0.3310073  0.31723995 0.28327022 0.26974543],[0.24067317 0.23868145 0.2257192  0.18476107 0.16545892],[3.21942529 3.21915584 3.21756237 3.20713142 3.1524095 ]
56,"[2.67240735e-10 5.28671347e-10 5.38826589e-10 5.06418670e-10
 5.18512601e-10]",[0.07659458 0.0766811  0.07686947 0.07873531 0.08185154],[1.98761658 2.21139667 2.22616461 2.18851164 2.10169696],[0.54396434 0.54420433 0.54540828 0.54613023 0.54545193],[0.31634567 0.31642868 0.31730046 0.32211487 0.33260793],[0.24649384 0.24647474 0.24653322 0.24599882 0.24890012],[2.68353299 2.68569337 2.70341406 2.8132836  2.93700441]
57,"[1.72845015e-10 3.41030100e-10 3.41785455e-10 3.05354891e-10
 3.07531750e-10]",[0.11744485 0.11817717 0.12175468 0.13239727 0.13606091],[1.82197395 1.96277141 1.93071636 1.81267855 1.76836888],[0.56659851 0.56683263 0.56683759 0.56977627 0.57015572],[0.46992033 0.47148934 0.47873163 0.50028771 0.50564592],[0.37169025 0.37258575 0.37773802 0.39082253 0.38977433],[3.36943835 3.37901634 3.44013091 3.62849798 3.71123035]
