epoch,hjorth_activity,hjorth_mobility,hjorth_complexity,perm_entropy,approx_entropy,sample_entropy,shannon_entropy
10,"[8.31955963e-11 1.38307931e-10 1.54529858e-10 2.40347936e-10
 7.70229248e-11]",[0.07151936 0.08422478 0.09985599 0.0793651  0.0975019 ],[1.98398563 2.1772219  2.04994119 2.53928258 1.7544234 ],[0.56231152 0.56432835 0.56597125 0.5629968  0.56460586],[0.27121197 0.32131842 0.37634351 0.30208425 0.36977935],[0.19657774 0.23525471 0.28136403 0.22033467 0.27568152],[3.2592443  3.35688572 3.44564451 3.32228563 3.43468973]
11,"[7.61996121e-11 1.65911270e-10 2.56494754e-10 2.59328336e-10
 1.22500034e-10]",[0.06217149 0.06708771 0.07224048 0.06539505 0.07141179],[1.89313192 2.40197931 2.60504225 2.72629036 2.15942327],[0.56161273 0.56043327 0.5611337  0.55971655 0.56229042],[0.23618802 0.25291192 0.26164728 0.24729079 0.26184312],[0.18268143 0.191851   0.19642644 0.18883383 0.19643951],[3.10235211 3.15069634 3.1994074  3.13317561 3.19290878]
12,"[1.83911162e-11 4.26674515e-11 6.65795739e-11 6.54732314e-11
 3.19133494e-11]",[0.09810435 0.09927055 0.09912944 0.09980113 0.09843716],[0.89701804 1.22143137 1.40812762 1.3994856  1.1035578 ],[0.56084865 0.559311   0.55745684 0.55943494 0.55773133],[0.4305039  0.42945209 0.42731662 0.43011116 0.427916  ],[0.36852055 0.36708529 0.36432501 0.36773701 0.36476234],[3.16949023 3.15862356 3.1497451  3.16235156 3.15078404]
13,"[8.85536893e-11 1.60407848e-10 1.97927455e-10 2.69459217e-10
 9.75058783e-11]",[0.06891067 0.07438921 0.08208419 0.07231028 0.0807356 ],[2.11652692 2.43858905 2.43332613 2.80450657 2.04226089],[0.56970837 0.56892324 0.56913022 0.56869497 0.56893827],[0.27376319 0.29795462 0.32370703 0.28911039 0.32077932],[0.20180087 0.22225889 0.24476852 0.2146857  0.2418984 ],[3.1077797  3.15331811 3.20487456 3.13634928 3.19751478]
14,"[6.81623077e-11 1.15538912e-10 1.23875762e-10 1.99941161e-10
 6.25920870e-11]",[0.06609489 0.07598905 0.09148577 0.07210495 0.08864426],[1.82820429 2.08702583 1.95855794 2.48053989 1.63084093],[0.57204328 0.57155502 0.57422823 0.5720086  0.57402721],[0.26395312 0.31298676 0.38404922 0.29354158 0.3735923 ],[0.2140002  0.2612251  0.32480699 0.24235291 0.3154503 ],[3.23399328 3.2898149  3.33557682 3.27055271 3.33028476]
15,"[1.76880000e-11 4.16034394e-11 6.56037806e-11 6.35446019e-11
 3.14099829e-11]",[0.10401727 0.10693927 0.10863048 0.10691779 0.10759295],[0.95957931 1.30905618 1.50205788 1.48783845 1.19308019],[0.57019839 0.57064775 0.57111396 0.57079845 0.57085631],[0.4590119  0.4635494  0.46777372 0.46220138 0.46720342],[0.40012055 0.40490398 0.40957347 0.40313217 0.40901643],[3.3054225  3.31046033 3.3159605  3.30861233 3.31516457]
16,"[3.91359416e-11 8.55958764e-11 1.32303131e-10 1.33623049e-10
 6.32159844e-11]",[0.08826943 0.09481805 0.09913053 0.09299818 0.09836068],[1.442888   1.84326593 2.03314901 2.0741282  1.68128533],[0.5739587  0.57523164 0.57545172 0.57543766 0.57544499],[0.36793156 0.38592262 0.39388955 0.38118984 0.39439098],[0.3105721  0.32615553 0.33282933 0.32124421 0.3328853 ],[3.26078525 3.29051353 3.31602887 3.28022271 3.3129357 ]
17,"[1.74544418e-11 4.21335207e-11 6.81827838e-11 6.37593297e-11
 3.25301838e-11]",[0.11485363 0.11661736 0.11692331 0.11712655 0.11604711],[0.96000556 1.30418395 1.49829971 1.46270253 1.20686243],[0.57359873 0.57327717 0.57447643 0.57312141 0.5744523 ],[0.49531234 0.49541576 0.49545998 0.49554852 0.4956594 ],[0.43346607 0.43318876 0.43306631 0.43329412 0.43318554],[3.4668144  3.46072412 3.45503061 3.46286867 3.45579184]
18,"[1.85522121e-11 4.39643852e-11 7.14515964e-11 6.68311662e-11
 3.40076817e-11]",[0.11573986 0.11817709 0.11891407 0.11842254 0.11802743],[0.9843786  1.31936906 1.50723592 1.47814345 1.22163485],[0.57466154 0.5752234  0.57702489 0.57465875 0.57680208],[0.49389421 0.49778392 0.49903466 0.4965307  0.49896599],[0.42933668 0.43339336 0.43291611 0.43246531 0.43327055],[3.41903303 3.42357871 3.43409979 3.42139182 3.43219507]
19,"[2.19385422e-11 5.15419633e-11 8.22352374e-11 7.86658497e-11
 3.92684606e-11]",[0.12177906 0.12410092 0.12568998 0.12419748 0.12468855],[1.0740723  1.40536531 1.57619807 1.55607575 1.30635166],[0.57484054 0.57549829 0.57650843 0.5752893  0.57615695],[0.50122278 0.49962611 0.49854838 0.49986869 0.49835117],[0.42397755 0.42133665 0.41878615 0.42228301 0.4191006 ],[3.50548547 3.49879488 3.50182119 3.50030461 3.50061598]
20,"[3.08808237e-11 6.67171048e-11 1.01175138e-10 1.04683744e-10
 4.84890009e-11]",[0.09790533 0.10353894 0.10683944 0.10220575 0.10605091],[1.23564447 1.57049793 1.73210642 1.77475536 1.42059586],[0.57350209 0.57408437 0.57415228 0.57436371 0.57465824],[0.42673578 0.44476773 0.45308845 0.43834892 0.45278487],[0.35978106 0.37335608 0.38022949 0.36869597 0.37986138],[3.4280786  3.43748959 3.44328616 3.43444177 3.44279782]
21,"[1.91729053e-11 4.54473022e-11 7.20205702e-11 6.92406626e-11
 3.44670956e-11]",[0.12426593 0.12561568 0.12597242 0.12622257 0.12503684],[0.97710644 1.29501624 1.46441818 1.43772534 1.20139848],[0.57589974 0.5781085  0.57738275 0.57813073 0.57722566],[0.51791633 0.51659908 0.51665739 0.5167437  0.51685649],[0.44678322 0.44573326 0.44656584 0.4459754  0.44646626],[3.5166842  3.51292362 3.51320178 3.51391324 3.51282751]
22,"[2.11890430e-11 4.95217832e-11 7.75283815e-11 7.58178981e-11
 3.71581655e-11]",[0.10984058 0.11259095 0.11467026 0.11247642 0.11363005],[1.05890915 1.40151407 1.56725967 1.57744973 1.27506395],[0.57622982 0.57577068 0.57670074 0.57733857 0.5769182 ],[0.47779868 0.48224227 0.48711501 0.47993942 0.48649128],[0.418752   0.42163732 0.42494061 0.42037214 0.42442596],[3.41054204 3.40706323 3.40830332 3.40787415 3.40775124]
23,"[1.93837101e-11 4.45627811e-11 6.99475995e-11 6.85152867e-11
 3.34583345e-11]",[0.10629929 0.10883561 0.10968532 0.10893621 0.10884995],[1.0285476  1.3718805  1.55926666 1.55741246 1.24664906],[0.57018871 0.56993705 0.57178668 0.56973462 0.57157002],[0.46430681 0.46870598 0.4702738  0.46688648 0.47035635],[0.41336624 0.41644069 0.41831503 0.41568324 0.41808644],[3.36865999 3.35684519 3.3492024  3.36070601 3.34987784]
24,"[1.90138948e-11 4.51780329e-11 7.24998117e-11 6.87078751e-11
 3.46081267e-11]",[0.10286596 0.10368994 0.10331684 0.10433746 0.10267117],[0.97623451 1.32890549 1.53266341 1.50796285 1.2152013 ],[0.56798829 0.56639978 0.56547039 0.56709645 0.56477648],[0.45290046 0.4503717  0.44767046 0.45131942 0.44814466],[0.40495495 0.40245676 0.39932083 0.40326118 0.39978764],[3.23776486 3.22215455 3.21073176 3.22737825 3.21194462]
25,"[2.63136358e-11 5.62165653e-11 8.16958962e-11 8.87999350e-11
 3.94845191e-11]",[0.10355822 0.10911855 0.11399788 0.10780592 0.1126778 ],[1.19082239 1.50963159 1.63587036 1.71573265 1.33936531],[0.57198791 0.57198278 0.57473405 0.57268809 0.57405234],[0.41467066 0.43563972 0.45590241 0.42856527 0.45321908],[0.35142246 0.3689     0.38462006 0.36274869 0.38278725],[3.42467834 3.41842291 3.4152624  3.42040158 3.41540885]
26,"[5.31079576e-11 1.07231484e-10 1.52036311e-10 1.72532302e-10
 7.34623855e-11]",[0.07378963 0.08242392 0.0906043  0.07951834 0.08931618],[1.69462968 2.10179824 2.22924575 2.40725458 1.845562  ],[0.56910584 0.56955296 0.56978966 0.56887623 0.569552  ],[0.29218526 0.31913365 0.33720532 0.30966321 0.33576435],[0.23392794 0.25418146 0.27059387 0.24692876 0.26881354],[3.24743462 3.30057977 3.34881135 3.28193029 3.34269996]
27,"[1.86656729e-11 4.43178821e-11 7.03208176e-11 6.74820170e-11
 3.36486142e-11]",[0.10195765 0.10184089 0.10097374 0.10278968 0.10035284],[0.94019227 1.28594264 1.48723831 1.46183453 1.17267492],[0.5615959  0.56087329 0.56228709 0.56128631 0.56205739],[0.45098317 0.44466102 0.43929152 0.4469945  0.43997785],[0.40345446 0.39708804 0.39125683 0.39925557 0.39184162],[3.22379238 3.20228955 3.18611776 3.20953224 3.18785058]
28,"[6.73201295e-11 1.78486820e-10 3.33953107e-10 2.59780542e-10
 1.55657125e-10]",[0.0781646  0.07402643 0.06969897 0.07571343 0.07016233],[1.91825994 2.63825466 3.16020433 2.83017563 2.62793966],[0.56570753 0.56503705 0.56368268 0.56551626 0.56459566],[0.2857225  0.26431841 0.23988663 0.27266597 0.24234146],[0.20733522 0.19113402 0.17184951 0.19739726 0.17469555],[3.31529544 3.277739   3.23634211 3.2915787  3.24225418]
29,"[2.08956305e-11 4.79832322e-11 7.57963087e-11 7.37559493e-11
 3.62023671e-11]",[0.08949852 0.08936116 0.08806863 0.09018792 0.08768675],[1.02771422 1.39501458 1.62162148 1.60947987 1.2573075 ],[0.56770665 0.5652636  0.56161343 0.56632467 0.56192969],[0.38688839 0.38579953 0.37976409 0.38663243 0.38057874],[0.32621031 0.32660306 0.32237508 0.32682315 0.32336822],[3.28872452 3.26193429 3.24452572 3.27081063 3.245989  ]
30,"[1.71142412e-11 4.07226219e-11 6.46486508e-11 6.19693431e-11
 3.09366915e-11]",[0.09564882 0.09481799 0.09318951 0.09604152 0.09267236],[0.86986437 1.19577433 1.38551405 1.37787667 1.07422072],[0.55963057 0.5564015  0.55544366 0.55780964 0.55442311],[0.42496744 0.4148408  0.40538047 0.41826656 0.40641568],[0.37045081 0.36050587 0.35131192 0.36408189 0.35241058],[3.12202547 3.08844145 3.05903696 3.10011331 3.06267216]
31,"[2.46504630e-11 5.43852028e-11 8.03091878e-11 8.50178022e-11
 3.87951430e-11]",[0.08198072 0.08478549 0.08754185 0.08431752 0.08658828],[1.00543193 1.33787936 1.49607669 1.55851769 1.17051873],[0.55435711 0.55341053 0.5543458  0.55341605 0.55437796],[0.35535002 0.3657266  0.37840017 0.3622655  0.37643484],[0.31268825 0.32118344 0.33030273 0.31804294 0.32906382],[3.14776596 3.14098161 3.14075851 3.14285056 3.14020776]
32,"[1.38976518e-11 3.29736375e-11 5.22933602e-11 5.02206022e-11
 2.50238970e-11]",[0.10189362 0.1026259  0.10230144 0.10358007 0.10135464],[0.80924115 1.12368033 1.31803083 1.292216   1.02016989],[0.55996182 0.55889688 0.55896687 0.55867219 0.55968433],[0.45275099 0.44752044 0.44357774 0.44911957 0.4438619 ],[0.3932074  0.3873219  0.38312608 0.38918114 0.3836313 ],[3.20985859 3.18523851 3.16525587 3.19364074 3.1675652 ]
33,"[1.61586750e-11 3.84601322e-11 6.13147569e-11 5.84991532e-11
 2.93150275e-11]",[0.09611971 0.09692238 0.09686514 0.09762545 0.09606897],[0.83506511 1.15986009 1.35864365 1.3330971  1.0536316 ],[0.55794257 0.55614988 0.55663084 0.55736692 0.55662504],[0.4275102  0.42357673 0.42110736 0.42475027 0.42148099],[0.37484821 0.37162268 0.36959195 0.37262756 0.36982403],[3.15060281 3.13511231 3.12609107 3.14008161 3.1267852 ]
34,"[1.80791873e-11 4.26125683e-11 6.94143945e-11 6.48564696e-11
 3.30069088e-11]",[0.1035927  0.10301759 0.10106171 0.10423821 0.10061355],[0.91014899 1.24564131 1.46679047 1.41387147 1.15134766],[0.56647363 0.56388784 0.56345401 0.56532897 0.56368596],[0.44874063 0.44156653 0.43056253 0.44459069 0.43233695],[0.37509697 0.37180732 0.36307911 0.37361941 0.36437016],[3.37400569 3.33796198 3.3001379  3.35110981 3.30535386]
35,"[3.64611474e-11 8.41963573e-11 1.31344305e-10 1.29366986e-10
 6.29357037e-11]",[0.09541354 0.09896725 0.10285465 0.09807392 0.10187315],[1.4096526  1.84247254 2.04157432 2.04548839 1.70018987],[0.56194398 0.56249572 0.56109589 0.56273103 0.56156388],[0.36190321 0.36017461 0.35979419 0.3605801  0.35941069],[0.28943121 0.28598763 0.28373599 0.28706032 0.28385038],[3.31573035 3.33221627 3.35660394 3.32556339 3.35265182]
36,"[1.80098756e-11 4.26445646e-11 6.78782849e-11 6.49629386e-11
 3.24504713e-11]",[0.10009945 0.10136747 0.10190688 0.10183696 0.10106234],[0.91331116 1.24785992 1.43932162 1.4249138  1.13384075],[0.56135943 0.55955621 0.55840448 0.56043186 0.5588718 ],[0.44404692 0.4423665  0.44099014 0.44267057 0.44113556],[0.3879613  0.38406583 0.37925324 0.38573432 0.37981309],[3.2087794  3.19784228 3.19592166 3.20094093 3.19544207]
37,"[1.76615119e-11 4.00056520e-11 6.10965719e-11 6.19073418e-11
 2.93632336e-11]",[0.09730515 0.09985459 0.10149255 0.0998904  0.10044892],[0.90565336 1.22074022 1.39178678 1.40868936 1.0899818 ],[0.56223868 0.5591568  0.558709   0.55963977 0.55866678],[0.42816029 0.43151806 0.43487802 0.43024635 0.43449171],[0.36520033 0.36815906 0.37133307 0.36697959 0.37078428],[3.25456472 3.24466495 3.23854767 3.24793855 3.23901693]
38,"[1.67733533e-11 3.97689202e-11 6.29838569e-11 6.05881869e-11
 3.01469297e-11]",[0.09890003 0.09886445 0.09807377 0.09985001 0.09737957],[0.87928798 1.21284146 1.41206722 1.38999254 1.09993272],[0.56086989 0.56041732 0.5601825  0.56042379 0.56087653],[0.4401457  0.43308265 0.42784819 0.43549501 0.42846102],[0.38232819 0.37660208 0.37194115 0.3785604  0.37240636],[3.15631129 3.12752651 3.10343772 3.13743715 3.10631503]
39,"[4.44838178e-11 9.65805493e-11 1.45300242e-10 1.51430497e-10
 6.97913385e-11]",[0.08650816 0.08914216 0.09102729 0.08856454 0.09050739],[1.50999821 1.92051076 2.11141772 2.15841157 1.73701177],[0.56878747 0.56900603 0.56854338 0.5678789  0.56855872],[0.34920936 0.35887352 0.36565819 0.3556285  0.36485917],[0.26084863 0.26923996 0.27628826 0.26649973 0.27564316],[3.28503112 3.28023165 3.26528    3.28292334 3.26809526]
40,"[2.90388796e-11 6.44360383e-11 9.99867813e-11 1.00147959e-10
 4.77970928e-11]",[0.08043081 0.08218629 0.08280348 0.08209449 0.08236471],[1.24365606 1.65582091 1.90402842 1.91051235 1.49038254],[0.56243972 0.56333912 0.56427066 0.5635931  0.56357937],[0.32070129 0.32948527 0.32934393 0.32671217 0.3298632 ],[0.26622064 0.27743314 0.28230811 0.27382339 0.2821842 ],[3.19796712 3.19451789 3.19861722 3.19516102 3.19738511]
41,"[2.67788364e-10 5.06952774e-10 6.95354374e-10 8.33857949e-10
 3.36059213e-10]",[0.04679204 0.05105127 0.05530907 0.04947025 0.05478385],[3.3079834  3.79623241 3.90367777 4.23409651 3.37704204],[0.5655736  0.56784895 0.56848357 0.56718209 0.56854958],[0.16482458 0.18445775 0.20101012 0.1771218  0.19955575],[0.11540696 0.12787288 0.13671006 0.12372242 0.13566415],[2.70877558 2.85859329 2.99327774 2.80382171 2.97871232]
42,"[9.90806843e-11 2.08943634e-10 3.98175540e-10 3.23078791e-10
 1.81905832e-10]",[0.08562464 0.09224223 0.08587461 0.09114983 0.0874853 ],[1.90706046 2.1874469  2.54676674 2.35735929 2.20847566],[0.56864737 0.56913691 0.56948866 0.56863267 0.56993971],[0.3381618  0.36185727 0.3352862  0.35658083 0.34320848],[0.23998528 0.25907705 0.23917999 0.25478788 0.2446138 ],[3.49873261 3.55803143 3.53150384 3.54498885 3.54188377]
43,"[5.07185177e-11 1.14658947e-10 1.81563233e-10 1.76967486e-10
 8.65559281e-11]",[0.08214591 0.08383296 0.08481395 0.08354234 0.08448508],[1.5765575  2.03589932 2.28352107 2.26843371 1.88360589],[0.57173742 0.57134165 0.56899912 0.57178787 0.5685864 ],[0.33128541 0.33240257 0.32970833 0.33260834 0.33074647],[0.26209732 0.26413388 0.26050028 0.26388949 0.26148709],[3.36929962 3.36671622 3.35625734 3.36836032 3.35833718]
44,"[1.62315363e-11 3.85286211e-11 6.13818047e-11 5.86493785e-11
 2.93451938e-11]",[0.11392426 0.11370599 0.11302116 0.11490223 0.11212875],[0.91510398 1.24024895 1.42769152 1.40304799 1.13524048],[0.56934652 0.56742033 0.5687273  0.56878318 0.56856203],[0.49300592 0.4877785  0.48362829 0.48933975 0.48418546],[0.43391505 0.42922958 0.42725821 0.43062079 0.42734773],[3.39792773 3.36674799 3.34572707 3.37708251 3.34766227]
45,"[9.84800615e-11 1.92790221e-10 2.55148544e-10 3.14670147e-10
 1.24827531e-10]",[0.07493686 0.08296897 0.09229582 0.08004347 0.09081447],[2.00392796 2.30033295 2.28764323 2.57310953 2.00036146],[0.56646216 0.56776975 0.57008614 0.56752571 0.56941135],[0.29941494 0.32996946 0.36068206 0.31872255 0.35710412],[0.22825328 0.25190137 0.27454276 0.24337165 0.27155304],[3.18930285 3.2958012  3.3892333  3.25840392 3.3779484 ]
46,"[1.97690671e-10 3.38257497e-10 3.55839800e-10 5.84148003e-10
 1.80975160e-10]",[0.05272029 0.0586374  0.06877646 0.05621669 0.06694941],[2.69002606 2.99737142 2.81029052 3.42026663 2.43371002],[0.55307724 0.5542602  0.55636452 0.55288031 0.5558775 ],[0.18321565 0.2101673  0.25459913 0.19916331 0.24696826],[0.11556032 0.13649723 0.1730086  0.12784544 0.16678783],[2.71480581 2.84838381 3.04322898 2.7946506  3.01246684]
47,"[1.50025970e-11 3.67308934e-11 6.09056175e-11 5.52498659e-11
 2.89385575e-11]",[0.10116542 0.10024473 0.09799152 0.10171112 0.09749614],[0.8686877  1.21852758 1.45013932 1.39142192 1.12322826],[0.55811871 0.55853575 0.55707224 0.55852446 0.55735656],[0.42400908 0.41678506 0.40918933 0.41912895 0.41081359],[0.358726   0.3524475  0.34557018 0.3547901  0.34669592],[3.24371134 3.21708169 3.19589271 3.22614509 3.19830558]
48,"[2.89802492e-11 6.67280178e-11 1.02435496e-10 1.02751388e-10
 4.92455438e-11]",[0.08764574 0.09180194 0.09618202 0.09077513 0.09505811],[1.1534533  1.54810142 1.73520316 1.75702327 1.4003306 ],[0.55693522 0.55588284 0.55605981 0.5571768  0.55600568],[0.34589809 0.34993581 0.35695339 0.34794922 0.35557749],[0.29013999 0.29475115 0.3008131  0.29312837 0.2997521 ],[3.25679779 3.27067979 3.28850882 3.26534264 3.28577735]
49,"[1.45985306e-11 3.49099355e-11 5.57463587e-11 5.30249076e-11
 2.66536674e-11]",[0.10711942 0.10875061 0.10925835 0.10939163 0.1082018 ],[0.83122588 1.15453256 1.35133915 1.31383731 1.06009269],[0.56218078 0.56196922 0.56322562 0.56123773 0.56264995],[0.47182613 0.47015903 0.46993452 0.47070093 0.4698293 ],[0.41373622 0.4124564  0.41236175 0.41271704 0.41212518],[3.27147436 3.26506489 3.26307721 3.26696559 3.26298204]
50,"[3.29282827e-11 7.05866631e-11 1.02193173e-10 1.11424834e-10
 4.94497795e-11]",[0.08218833 0.0839765  0.08770579 0.08357867 0.08657439],[1.25300315 1.61697468 1.76459855 1.87075031 1.40773102],[0.56528067 0.56296177 0.56481514 0.56313908 0.56389429],[0.35463548 0.36101938 0.37751874 0.35779822 0.37461356],[0.29715606 0.3047504  0.31798599 0.30162429 0.31591565],[3.22610869 3.19429635 3.19083448 3.20337495 3.18882203]
51,"[2.51342825e-11 5.70254131e-11 8.63708033e-11 8.82682063e-11
 4.15927914e-11]",[0.08660215 0.08821128 0.09019576 0.08815021 0.08932389],[1.06921649 1.44841886 1.64886697 1.66140593 1.29905817],[0.5601526  0.559725   0.56260274 0.55925259 0.56234993],[0.37861231 0.38389488 0.39186387 0.38188055 0.39044223],[0.32347113 0.3316508  0.34124265 0.32856826 0.339599  ],[3.22379227 3.22053726 3.22722913 3.22083466 3.22549376]
52,"[5.22232752e-11 1.01684135e-10 1.31308277e-10 1.66523999e-10
 6.45758086e-11]",[0.07577681 0.08671965 0.10054871 0.08274915 0.09811347],[1.65954236 2.01433279 2.03108015 2.32199899 1.7068443 ],[0.56429883 0.56258936 0.56489936 0.56335756 0.56471732],[0.29354317 0.3267202  0.36361482 0.31435142 0.35949567],[0.23468865 0.26035967 0.29035274 0.25069168 0.28608512],[3.05496755 3.17896681 3.30925846 3.13364083 3.29135719]
53,"[2.06685453e-11 4.51168176e-11 6.53177034e-11 7.08538629e-11
 3.16628415e-11]",[0.08416787 0.0887557  0.09369964 0.08773966 0.09224277],[1.01171688 1.36253046 1.52865396 1.5907336  1.19203502],[0.56624637 0.56532985 0.56698356 0.56651053 0.56720429],[0.36525276 0.38033031 0.40013201 0.37420567 0.39691055],[0.3117279  0.32555572 0.34306745 0.32002039 0.34041473],[3.09509966 3.13703311 3.1889299  3.12110304 3.18106497]
54,"[1.70931070e-11 3.99214528e-11 6.28428065e-11 6.11013755e-11
 3.00817598e-11]",[0.09847524 0.09937047 0.09991469 0.09997567 0.09899206],[0.93252098 1.28185616 1.48674367 1.46985081 1.16136594],[0.56399761 0.56491947 0.56355032 0.56422726 0.5635228 ],[0.43367139 0.43380998 0.43453233 0.43446096 0.43423318],[0.3744275  0.37709345 0.37830416 0.37631295 0.37809821],[3.25459585 3.23057063 3.21895665 3.23812892 3.21944778]
55,"[5.60218289e-11 9.72589018e-11 1.08920961e-10 1.66593039e-10
 5.46279570e-11]",[0.08065139 0.09561634 0.11508083 0.09001827 0.11173625],[1.58424332 1.76832619 1.64596292 2.07161315 1.40937726],[0.5690127  0.56805664 0.56882191 0.56855373 0.56904912],[0.33242788 0.394054   0.46283482 0.37095684 0.45363299],[0.2614045  0.31449441 0.3783002  0.29384182 0.36957888],[3.42832444 3.51366735 3.57730331 3.48522216 3.57023119]
56,"[2.97355929e-11 7.38588590e-11 1.24644596e-10 1.10491022e-10
 5.90675988e-11]",[0.10938391 0.10856377 0.10665025 0.10951619 0.1065045 ],[1.23240838 1.6369688  1.86831393 1.79342037 1.55225579],[0.57469229 0.57513802 0.57624373 0.57467244 0.57555334],[0.44717888 0.43940486 0.43181137 0.44214998 0.4333475 ],[0.36923074 0.36353733 0.35530658 0.36557987 0.35667289],[3.53123543 3.51341851 3.4917099  3.52014577 3.4949836 ]
57,"[1.93840622e-11 4.64165864e-11 7.47064757e-11 7.04261087e-11
 3.56618574e-11]",[0.11593658 0.11848516 0.11968409 0.11861851 0.11874175],[1.01677601 1.35862927 1.53812641 1.51882122 1.25427916],[0.5757685  0.57629528 0.57539007 0.57585682 0.57585522],[0.49755708 0.50049516 0.5024821  0.4994389  0.50217924],[0.43418934 0.43582469 0.43689509 0.43541167 0.43666023],[3.39487371 3.40240912 3.41145879 3.39958119 3.41010406]
