epoch,higuchi_fd,lyapunov_exponent,hurst_exponent
18,"[0.8976271151531006, 0.8962863342285222, 0.8952521234509544, 0.8968026141855449, 0.8953627840436459]","[-23.621491735875694, -22.758831197201506, -22.27323083305054, -22.34000276139246, -23.015666602199232]","[0.447325062843999, 0.4408794338276977, 0.440974175934046, 0.44324615975318277, 0.44005233375632713]"
19,"[0.89237432709778, 0.8915717775088094, 0.8899259557957463, 0.8919096025516429, 0.8901702736013053]","[-23.45462773776416, -22.60059636953741, -22.133590258763604, -22.177734678355108, -22.872723065392126]","[0.3427232121650248, 0.3600411441560268, 0.38797182421673626, 0.3530718516273619, 0.38277898231582813]"
20,"[0.8976282744379952, 0.8977421670973064, 0.8971342811103173, 0.8977741712679214, 0.8972624187326533]","[-23.10950379442585, -22.33999983444923, -21.924182651908467, -21.889234765488514, -22.65965039012276]","[0.190532418282032, 0.13501727718302708, 0.10721676081590675, 0.15678835919338177, 0.10681493240833083]"
21,"[0.896574324962084, 0.8956163755793595, 0.8941269181436398, 0.8960208101623081, 0.8943605774198131]","[-23.58958333462517, -22.72647204930841, -22.26608551873976, -22.30545118585884, -23.003025189192407]","[0.22347337427400688, 0.21905055006756827, 0.2122098168827809, 0.2206037350733856, 0.21332633598649217]"
22,"[0.8956588252084725, 0.896012716775782, 0.8961961593122767, 0.8959266643553423, 0.8961660879642525]","[-23.487103322473526, -22.63837787353037, -22.19040988438752, -22.21237788541227, -22.92582971357403]","[0.5098598763615922, 0.4892178436895763, 0.4678558502465276, 0.4970164722280033, 0.4678590137284171]"
23,"[0.8968489059055575, 0.8974197810361874, 0.8978109122513, 0.8971946553699105, 0.8978074048451699]","[-23.57568551400832, -22.74336616081359, -22.292592846970297, -22.313161566301456, -23.030034733360818]","[0.6782834535921392, 0.6202221613410815, 0.6156031098558965, 0.6279884803285375, 0.6155816165621135]"
24,"[0.9089293515025947, 0.9098050614702621, 0.9102324539649176, 0.9095632846641785, 0.910207302425661]","[-23.594491908872826, -22.728921130715747, -22.255818213490908, -22.309714989273395, -22.99533124877705]","[0.2576357914099348, 0.32291875236712586, 0.3909885611861973, 0.2964644897676249, 0.38539796064711856]"
25,"[0.9001031885531314, 0.8994597829432763, 0.8985027107900208, 0.8997205078002908, 0.8986842661277169]","[-23.26997618865243, -22.51143463320466, -22.13828635265039, -22.054041662040078, -22.865293376816645]","[0.4868161099392158, 0.4966224624701511, 0.5170631052218866, 0.4891976074004746, 0.5143842902730892]"
26,"[0.8981099980112941, 0.8968135685775908, 0.8949355272650565, 0.8973240705554285, 0.8952414925789886]","[-22.563780116355538, -21.862005177602043, -21.51387414769028, -21.38606991301842, -22.24108973356348]","[0.3779144761592189, 0.39196280455222504, 0.47069403653761066, 0.3776593894907514, 0.46400160719736194]"
27,"[0.9145360994867655, 0.9154959661490277, 0.9158334776445508, 0.915193472209255, 0.9158733253080639]","[-23.612945711617023, -22.748082650158366, -22.286324628530448, -22.327659940157414, -23.023424490889127]","[0.288814030599439, 0.28265968218947407, 0.2772468654708015, 0.28487681366684703, 0.2780055346693659]"
28,"[0.8982361348435529, 0.8981825575040022, 0.8970078825530505, 0.898189920282652, 0.8972342767377789]","[-22.327087374400996, -21.351686494754233, -20.724894840066195, -20.976484685592794, -21.488278065980083]","[0.9154636530941545, 0.977049133362556, 1.024456992316556, 0.9535182883382453, 1.0236484279119826]"
29,"[0.9109444403353759, 0.9131638917006788, 0.9140000929491238, 0.9125223401524749, 0.9139600002064868]","[-23.498487462573994, -22.66721958975136, -22.210152576175123, -22.237285919636083, -22.949052967462638]","[0.2408511916415171, 0.21460954342129265, 0.20171119280565264, 0.2200245577073215, 0.20355553961665893]"
30,"[0.920565514966692, 0.9233536126496474, 0.9253018158026588, 0.9224224646774833, 0.9250798062947283]","[-23.699050548178747, -22.83185935122204, -22.3694064675861, -22.412112731015103, -23.10646362494623]","[0.1971704100121131, 0.2015136824888617, 0.20635071609447517, 0.19988984220551143, 0.20567437992745463]"
31,"[0.9254070210786056, 0.9271461987850678, 0.9280623770419884, 0.9265778080361744, 0.9280091149843802]","[-23.33250908181551, -22.54140422427612, -22.15185837362158, -22.094561745737742, -22.8794097577748]","[0.49882321817865005, 0.45935288939343705, 0.3993605893545435, 0.47496716564908503, 0.4098356096719454]"
32,"[0.9181463501167323, 0.9189738242570626, 0.919265841089989, 0.9186985783036137, 0.9192693402197765]","[-23.90854088538714, -23.044282598136117, -22.58289978723563, -22.62365771919546, -23.319964087222374]","[0.18142839475359243, 0.19311278776953247, 0.20906748624544802, 0.18860480630777596, 0.20641720313734438]"
33,"[0.9250153441472431, 0.9256264452223986, 0.9254009167414263, 0.9255078460067626, 0.9254834320258364]","[-23.75647074469497, -22.889197790097498, -22.42273684428572, -22.469842231236495, -23.16066198437049]","[0.4981682630104688, 0.5161245961906744, 0.520126834674982, 0.510154122587098, 0.5193533266954793]"
34,"[0.91374886397134, 0.9149260331812289, 0.9144431248639601, 0.9146026086480826, 0.9146392116612923]","[-23.64530188201394, -22.787626616478796, -22.299356100190224, -22.367706952589703, -23.042779522825366]","[0.4350155154258907, 0.43167834576923436, 0.4079667730425399, 0.43306822259540356, 0.4105203247546654]"
35,"[0.9022736398256777, 0.9022790666349979, 0.900933480034955, 0.9023450061070631, 0.9012250533404677]","[-22.942163862182078, -22.105622542344808, -21.661444354552057, -21.67597858632819, -22.397075941648804]","[0.9067059218873571, 0.8910861034236006, 0.8696264951698262, 0.8966381482038236, 0.8733242714494086]"
36,"[0.9173473551774458, 0.91846505748714, 0.9186725111473597, 0.9182225894627265, 0.9186559536874913]","[-23.648520990616344, -22.786500822108476, -22.321698492177337, -22.36559331721394, -23.059693337774284]","[0.39465361500359397, 0.37182079786788874, 0.33980961818102534, 0.38040868453199367, 0.3442458891294769]"
37,"[0.9163645232753951, 0.9177016223284099, 0.9180299086249206, 0.9173205557603971, 0.9180572083090094]","[-23.667996717001635, -22.850536962071097, -22.427287018220465, -22.413855295746025, -23.159974112878903]","[0.41877596287544067, 0.3441046680703951, 0.26873493700442014, 0.3738557714374392, 0.2684406004872118]"
38,"[0.9180356773507116, 0.919432330012005, 0.9205225330428702, 0.9189216139488218, 0.9204425627876717]","[-23.71941513795596, -22.85589425382049, -22.395938073248914, -22.43495539895494, -23.13275064417835]","[0.315411518428269, 0.3106648335076777, 0.3065721759714578, 0.31218245432976593, 0.3068812799027765]"
39,"[0.8968520497507553, 0.8976906458517422, 0.8971860643581744, 0.8974840728938484, 0.8973544683451888]","[-22.742290256815227, -21.967314792961922, -21.559122879202178, -21.517467508253443, -22.292389746144607]","[0.6928167067989537, 0.6567876786287487, 0.611768744949564, 0.6698462994393879, 0.618591808966063]"
40,"[0.9091384753264385, 0.9088473380813171, 0.9081444424735753, 0.9090449494104046, 0.9082701981961061]","[-23.16918350418787, -22.37206780378237, -21.93247227481727, -21.931134109432715, -22.670588660810626]","[0.5186748919667752, 0.5371887863295508, 0.5437088033673656, 0.5323648491629768, 0.5420496648699074]"
41,"[0.9004051540474266, 0.8989478272372035, 0.8957331152935198, 0.899697193192267, 0.8962886314792992]","[-20.943741572203486, -20.305811586026678, -19.990318143728665, -19.808039154995075, -20.717371344987814]","[0.7745734488360188, 0.7466695514156817, 0.7357141109252147, 0.75768665074753, 0.7322149724905496]"
42,"[0.9013470476725118, 0.900945196970799, 0.9001705963306488, 0.9011264052731215, 0.9002773905083303]","[-21.94171968753423, -21.19612980064014, -20.55083288985343, -20.76018811652874, -21.334365564839693]","[0.6820809233038438, 0.4001635504479674, 0.16095909221044827, 0.5875952760677103, 0.16706399102741631]"
43,"[0.9036000440065908, 0.9046260857391825, 0.9046058696448008, 0.9043595987582611, 0.9047082861545326]","[-22.610775296137245, -21.79505159713494, -21.33551317177559, -21.361053024905495, -22.07629944139067]","[0.3876388897059504, 0.4343047864044133, 0.48645946292662035, 0.418174163906212, 0.479878120780454]"
44,"[0.9053309612108709, 0.9067167353276806, 0.9072785042829449, 0.90626830277467, 0.9072892589582519]","[-23.75447296192911, -22.88969914563579, -22.42381263552934, -22.46962719449112, -23.161808344461015]","[0.414193049693033, 0.4018739274765906, 0.38769654125033537, 0.40650081965083906, 0.38981175118229955]"
45,"[0.9037561134081877, 0.9031515960840033, 0.9015714871247079, 0.9034272012514772, 0.9018706247209133]","[-21.94645856400794, -21.275454350150508, -20.99620858540309, -20.78523661046212, -21.710973595375748]","[1.01582494189991, 0.9549462359775499, 0.8662465863129655, 0.9788863589857733, 0.8805980941262702]"
46,"[0.9152531777863154, 0.9151953473421768, 0.9131801927535111, 0.9153319453467312, 0.9135841892800365]","[-21.247662424372432, -20.7109659822379, -20.66109342236765, -20.164443387086298, -21.337068437830737]","[0.6506889150761738, 0.5993405010302876, 0.5100152517563696, 0.6206188900712883, 0.5262334412792224]"
47,"[0.9201340855689936, 0.9201576716262156, 0.9198608986285558, 0.9201847777206399, 0.9199783896277518]","[-23.831355398651684, -22.93552681174116, -22.4294089976595, -22.527432248030152, -23.173613530443774]","[0.4096834640736864, 0.44029818193258136, 0.47329450529964573, 0.42972751176460894, 0.467683441137706]"
48,"[0.9189722922516523, 0.9185292792717753, 0.9174020700211178, 0.9187145461435843, 0.9176321745109761]","[-23.170925299003418, -22.337319402067017, -21.909238768204894, -21.905476052561355, -22.641571359230888]","[0.330135552654863, 0.319045191409567, 0.3062851261229968, 0.32327950844564174, 0.30826825528125096]"
49,"[0.9162196357231184, 0.9154422980848083, 0.91367474874649, 0.9157908287740613, 0.9139632589368056]","[-23.859607114726597, -22.987673251100343, -22.519599781675208, -22.56970821694749, -23.257485536235823]","[0.1372804188268745, 0.13139102006577721, 0.12919687829840468, 0.133596059848687, 0.1289053906346522]"
50,"[0.9095903473192173, 0.912238397268897, 0.9136023043274226, 0.9113610850012883, 0.9135909176215904]","[-23.04256874580496, -22.280191438929712, -21.910577728824233, -21.823612076819202, -22.636404913831143]","[0.6160086854431633, 0.5922746790647478, 0.559485723933845, 0.6014135926962391, 0.5647613575389197]"
51,"[0.9166149910970591, 0.9164950417464041, 0.9154411429802187, 0.916647752258319, 0.9156453772387663]","[-23.31362834906564, -22.494455272575774, -22.079513632001397, -22.057529368231435, -22.81019745469628]","[0.5921268725041046, 0.5743174247566685, 0.5736725398276421, 0.5814147541629131, 0.5735669552366305]"
52,"[0.9057985464088024, 0.904145497523399, 0.9014990849158769, 0.9048475488313006, 0.9019343200720187]","[-22.581023489133152, -21.91587494279168, -21.661945564062403, -21.42212505825948, -22.371378505110112]","[0.5306592006088107, 0.4821178718172868, 0.4229088769679169, 0.5002186252931491, 0.4307383673314678]"
53,"[0.9129621359808073, 0.912398652477422, 0.9107621896925041, 0.9126850070304511, 0.9110769478427795]","[-23.50896411133561, -22.728714271982962, -22.359255108855244, -22.27719537364922, -23.08328682719504]","[0.6028635462905967, 0.5866373419033117, 0.5660337601903572, 0.5927903503390637, 0.5695719793352932]"
54,"[0.911705238623521, 0.9117009290080564, 0.9114560183690373, 0.9116915027989855, 0.911576508031145]","[-23.70040054113269, -22.852077230306197, -22.398379587562495, -22.426477401481495, -23.135084338019876]","[0.49236097274468693, 0.4506149856518776, 0.3958691644656394, 0.46655306567880445, 0.40452007700513476]"
55,"[0.9053756105868803, 0.905040744841121, 0.9046735276606143, 0.9051886983095645, 0.904719700922372]","[-22.510966556410946, -21.961120137321338, -21.85070745264344, -21.422200493875803, -22.54033607647092]","[0.9824876281097701, 0.87809986355457, 0.6794972373174445, 0.9212703231865028, 0.7181918582171647]"
56,"[0.8900016551910105, 0.8902699370013923, 0.8902512800902803, 0.8900874457781895, 0.8903317631063207]","[-23.148326811296712, -22.23824382142814, -21.714617443086507, -21.835567168904262, -22.46144763834788]","[0.658137538283468, 0.647003663284886, 0.6300587073639148, 0.6510850936515006, 0.6329247381960472]"
57,"[0.8963544877717566, 0.8959573201807891, 0.8956078769772733, 0.8960791477395814, 0.895676102812646]","[-23.57719040359859, -22.704121343955116, -22.228326192679024, -22.287167229107727, -22.967797532676887]","[0.5019607361789868, 0.46017294084005905, 0.4513832383510234, 0.4759761957296719, 0.45129435378048305]"
58,"[0.8922247190997123, 0.8908759003623712, 0.8890811167749431, 0.8913923948208015, 0.8893655064216632]","[-22.97344921525728, -22.18921169063385, -21.774539544892693, -21.742522092268974, -22.508367353754824]","[0.8021450928553732, 0.7400929425383889, 0.6601978345006058, 0.7634683784750719, 0.6717726967366962]"
59,"[0.898641509527553, 0.898201270165171, 0.8974339974621339, 0.89836303696647, 0.8975731961284164]","[-23.504496916302656, -22.63055673815785, -22.160204742038417, -22.213338499718795, -22.898432035637327]","[0.3196411511337389, 0.3226056457641358, 0.32266034146634315, 0.3224280563834007, 0.3226300770217935]"
60,"[0.9008721573680128, 0.9000536827889077, 0.8991371410965131, 0.9003653250686219, 0.8992774104982107]","[-22.982880930873137, -22.228585767708655, -21.89253578244497, -21.767069226547274, -22.611457771849537]","[0.6103995070190835, 0.5762551096430807, 0.5276032039460482, 0.5895709383691848, 0.5358131716012307]"
61,"[0.8931308293519389, 0.8930481947154641, 0.8929685433631862, 0.8931000557944058, 0.8929828434510835]","[-23.582095795081297, -22.70120049751165, -22.22403999965959, -22.286450913055056, -22.963188654045855]","[0.20978426018881152, 0.23037719822604338, 0.26092292448405524, 0.2222950172718609, 0.25608843582043994]"
62,"[0.8957212133335055, 0.8951725266698093, 0.8944977905431278, 0.8953958033030051, 0.8946030789423666]","[-23.67196183554806, -22.792394803343754, -22.315629666283765, -22.37724872797142, -23.05480096417831]","[0.2687363200405083, 0.2562852863291047, 0.24285918795354233, 0.2604905994353513, 0.24493127847977797]"
63,"[0.9006017909766841, 0.9004224418057163, 0.9003662306195253, 0.9004683616344751, 0.9003882121598017]","[-23.522742616287847, -22.64289056834243, -22.16662268916437, -22.227778810336357, -22.905658277703335]","[0.3748677653787114, 0.37542813487965154, 0.37565852982349973, 0.37523026131236575, 0.37581249369131237]"
64,"[0.903862677986494, 0.9037628536306329, 0.9035983945397168, 0.9037959851205846, 0.9036311046076312]","[-23.123967102843196, -22.317694166627483, -21.900890564112377, -21.87736102666729, -22.633160600932882]","[0.47988456872106516, 0.4609957567297, 0.4574480320077101, 0.46235638629982617, 0.45792887818731054]"
65,"[0.8917023373442198, 0.8916868449216038, 0.8902946225484146, 0.891723898087447, 0.8906510667098537]","[-22.159054763269594, -21.458096044062696, -21.128399060181206, -20.980528538016326, -21.851505344342993]","[0.6676455857786417, 0.6441941836705001, 0.6128417983685638, 0.6530899590947045, 0.6179071724210509]"
66,"[0.9190250450357459, 0.9190104088947376, 0.9185637626664185, 0.9190296846613858, 0.9186525386101415]","[-23.397140000566118, -22.58203722615808, -22.166991803192193, -22.143998332210874, -22.898075287213288]","[0.3073385548786196, 0.29251749361098484, 0.2833911337980979, 0.2983084430300412, 0.2802012941248142]"
67,"[0.9148200858131086, 0.9149201356533979, 0.914531182944528, 0.9149293457498692, 0.9146201675420305]","[-23.53176512982198, -22.72131855850021, -22.311823286272816, -22.28151665681369, -23.04208352437888]","[0.5451652920927397, 0.5127357896679022, 0.46691398249978694, 0.5242349629701627, 0.47395958226512913]"
68,"[0.9122726217729081, 0.911862089886175, 0.9107009743168105, 0.9121342504391577, 0.9109143758974804]","[-23.11401111260494, -22.30967695311943, -21.89725915020144, -21.868430615612716, -22.62872810733386]","[0.7874272736404937, 0.7763443649468214, 0.6426030794229092, 0.7985930895511135, 0.6661182203189725]"
69,"[0.9074133920166138, 0.9081396633638574, 0.908584692790977, 0.9078604363403324, 0.9085267835042233]","[-23.813237071497184, -22.946055032543843, -22.47979583827775, -22.52666444840557, -23.21769792396082]","[0.3342234494547439, 0.3546200343626611, 0.380269250330304, 0.34699257839961, 0.3767210271330538]"
70,"[0.906383406670086, 0.9044434580968482, 0.9012972676342524, 0.9052697870542813, 0.9017616568948941]","[-21.80163301641862, -21.211961823604256, -21.013748018475706, -20.6911000837329, -21.719449065055485]","[1.190349255660992, 1.0960050177092593, 0.9585159073809668, 1.1344932637452099, 0.9731919850282781]"
71,"[0.9197745232204251, 0.9200247953319133, 0.919418463177417, 0.9200012744842528, 0.9195794380685316]","[-22.703457440068107, -22.0346187820122, -21.783458170561325, -21.541799803405127, -22.4917830024368]","[0.202545846014957, 0.23017520158195762, 0.28075145315532524, 0.21751472713402886, 0.2731191828878049]"
72,"[0.9198655140264965, 0.9209153299942596, 0.9207901929752249, 0.9206019025296711, 0.9209271287977915]","[-23.746455067225057, -22.876377825479693, -22.407683127126226, -22.457973385353036, -23.145870413671634]","[0.25058744786363446, 0.258908361976334, 0.27813368246366704, 0.2544336556575006, 0.2716816883107612]"
73,"[0.9118417338231081, 0.9123005053639425, 0.9107922479995406, 0.9122408669683557, 0.9110912744003248]","[-23.327473986855065, -22.509382108966527, -22.07403801250308, -22.073910071050857, -22.809351145069556]","[0.501093147302841, 0.48846481031998845, 0.5023285559012728, 0.49310197224133556, 0.49913696016981973]"
74,"[0.9079617417806072, 0.9080294420629941, 0.906928009788427, 0.9081132544703029, 0.907134078974001]","[-23.86728663348038, -23.001626328757155, -22.538694806851336, -22.581524368107004, -23.275984768787133]","[0.15438581279130006, 0.15692752704783705, 0.16027046684118396, 0.15595374601112447, 0.15973732715840794]"
75,"[0.9085324847084675, 0.9103831037698591, 0.9111467402910618, 0.9097700897361441, 0.9111119415481818]","[-23.69451676666969, -22.87105792576943, -22.439840734370947, -22.43670453907823, -23.173764734970007]","[0.4332249321126792, 0.36244739299784146, 0.3375138148067567, 0.3844790919713426, 0.3402604276043033]"
76,"[0.8915750370933841, 0.8902826374234103, 0.8888089281311932, 0.8907452745452558, 0.8890336694511624]","[-22.958608391933065, -22.108023963623896, -21.626448424235356, -21.685572321994357, -22.369016435423795]","[0.4979695867782204, 0.4963768188173754, 0.49855725855912375, 0.4966545591559695, 0.49745254427306396]"
77,"[0.9101254246222145, 0.9094264034535391, 0.9079493065945884, 0.9097149288570583, 0.9081913661017604]","[-23.697044157666287, -22.82138356332553, -22.348647758595945, -22.404837330365066, -23.08726379000244]","[0.39798994142953237, 0.41246897057327125, 0.4336141859349367, 0.40693819930579334, 0.43077360627496153]"
78,"[0.9045491783475571, 0.9050369742823211, 0.9053127117627209, 0.9048862153924471, 0.905343767681882]","[-23.74462752662521, -22.879693047138197, -22.41630986176715, -22.459440660446834, -23.15376430785543]","[0.27241513226887243, 0.2846721419193009, 0.30532549748671434, 0.2782086846394022, 0.3022623848974951]"
79,"[0.8860218975351642, 0.8865368249375005, 0.886492039207155, 0.8863800662096928, 0.8865649999728713]","[-22.266894852201723, -21.548952432675087, -21.23766320551263, -21.07503268108642, -21.954647881571773]","[0.9063764424829349, 0.8567040272194595, 0.7954300518280414, 0.8753484848759261, 0.80359935976669]"
80,"[0.8928682488055889, 0.8900951376097431, 0.8861971042314901, 0.8914581344795954, 0.8867334358163971]","[-20.685095021766806, -20.118089661036283, -19.997808078019826, -19.58528327061523, -20.68736067236616]","[0.7508185351709082, 0.7342524306235696, 0.6618822752552272, 0.7421471171272851, 0.6785883487133184]"
81,"[0.8993031600220124, 0.896814067270528, 0.893351137816716, 0.8977584153896228, 0.8938673860684676]","[-19.796232306718213, -19.32384513536872, -19.35838024151029, -18.751642760095596, -20.022850957868968]","[0.38180297281377634, 0.38614146685547374, 0.36574392686997703, 0.38219924196781785, 0.37308547231104944]"
82,"[0.9182910960333449, 0.9175365138209933, 0.9162170086775374, 0.9178649066918337, 0.9164320902081423]","[-21.724378561625677, -21.01394870565278, -20.68549190645884, -20.539096567170265, -21.40728067444814]","[0.16366376302891594, 0.15431512820704107, 0.1548513280995174, 0.15810853408643882, 0.15234339576573902]"
83,"[0.9118844196644961, 0.9104218582334972, 0.9086117132817805, 0.9109701267738393, 0.9088609715855552]","[-21.286984129322132, -20.51780217001309, -20.132015814785735, -20.06446263407396, -20.860831382179384]","[0.774897498906605, 0.8331684678850777, 0.8519743993424123, 0.8101997748903568, 0.8605579490728988]"
84,"[0.9290061064045942, 0.928295568812532, 0.9272502785504436, 0.9285833267287452, 0.92739615657528]","[-23.183684396268994, -22.316718527835654, -21.84646219070926, -21.897629284458123, -22.585240305369826]","[0.5624687952749872, 0.5729611885222718, 0.5895456491920885, 0.5697024718029777, 0.5863693853039211]"
85,"[0.9121806852600166, 0.9099905347389252, 0.9076012474868493, 0.9107947966023238, 0.907950449002816]","[-22.534418996185725, -21.880702953596067, -21.50205517742684, -21.392553828279862, -22.241300793132385]","[0.8888306683850398, 0.7909318662942069, 0.7132431298511567, 0.8246780306594849, 0.7099212714098989]"
86,"[0.9122797138188002, 0.9107168294685324, 0.9088632890982022, 0.9113390564371575, 0.9091755799288774]","[-21.178336059824886, -20.810293913468165, -20.980018685736354, -20.195613463550036, -21.62855711166952]","[1.0437850308657382, 0.9448188318014894, 0.7666334557077631, 0.9862577263801732, 0.7991743120950714]"
87,"[0.9002425756246184, 0.898899903564896, 0.8971567379712098, 0.8994195281894881, 0.897411100142705]","[-20.494874198205586, -19.982463704700404, -19.944846621531276, -19.42729029637611, -20.621607149759217]","[0.4860778312542123, 0.4714038407289567, 0.4539599319157219, 0.477299293580072, 0.4561082819235685]"
88,"[0.9316121110789136, 0.9302735783199754, 0.9277371151233267, 0.9308581304957889, 0.9281391852462412]","[-23.340399767258017, -22.514355711511215, -22.090654479444648, -22.080061595467242, -22.822669595708124]","[0.2259722431996963, 0.21017123953048436, 0.19821587755697273, 0.2156991947635155, 0.19973141470265754]"
89,"[0.9322062753220499, 0.9311056750339799, 0.9293886715994953, 0.9315732411499822, 0.9297136905370467]","[-23.5118918798066, -22.67087342242646, -22.230601926185855, -22.24210493481416, -22.964983966235902]","[0.4856321731212487, 0.47595588697702146, 0.43756554756570687, 0.4829853856814766, 0.4456143043809754]"
90,"[0.9272793731249082, 0.9254257107286608, 0.922642301892597, 0.9261878653611151, 0.923117941634386]","[-23.29928555461218, -22.489423002749835, -22.080972513923733, -22.049365792690725, -22.811034830734325]","[0.492960607931394, 0.5287528338109068, 0.5746265260294308, 0.5142427834384462, 0.5690341560284446]"
