epoch,hjorth_activity,hjorth_mobility,hjorth_complexity,perm_entropy,approx_entropy,sample_entropy,shannon_entropy
12,"[1.46954091e-10 2.35788535e-10 3.14097445e-10 3.02412819e-10
 2.15161993e-10]",[0.06450926 0.06120411 0.05781526 0.0577226  0.05881972],[1.83078612 2.0962984  2.19726467 2.17386062 2.01571605],[0.54334642 0.53903711 0.53617652 0.53521268 0.53743999],[0.25545892 0.2415342  0.22462071 0.22407254 0.23096844],[0.21579966 0.20427661 0.18732208 0.18668958 0.19412126],[2.40895466 2.34642051 2.30287795 2.30225319 2.31280684]
13,"[2.03340248e-10 2.72995972e-10 2.78630057e-10 2.65808906e-10
 2.10093548e-10]",[0.05930582 0.05970931 0.06152221 0.06160798 0.06066329],[1.94915465 2.09299558 2.03085525 2.00427846 1.91592558],[0.53802874 0.53571501 0.53535501 0.53508665 0.53436975],[0.22503296 0.23032046 0.23932857 0.23954442 0.23588273],[0.17729366 0.18617845 0.1930632  0.19306173 0.1921263 ],[2.57277981 2.54304324 2.52254629 2.52192334 2.52882821]
14,"[1.09214001e-10 1.82235628e-10 2.30852573e-10 2.21516678e-10
 1.62689144e-10]",[0.06696991 0.06506725 0.06344969 0.06340394 0.06387427],[1.62411488 1.87310634 1.93889276 1.91588284 1.78128988],[0.53286074 0.5331308  0.5313353  0.53133868 0.53263344],[0.26018604 0.25192155 0.24725907 0.24706268 0.24824413],[0.22118674 0.21485283 0.20994364 0.20973526 0.21181213],[2.59615156 2.56168621 2.52411432 2.5229323  2.5367392 ]
15,"[1.51986477e-10 2.41381583e-10 3.04496805e-10 2.92447450e-10
 2.13495887e-10]",[0.06661646 0.06472301 0.06217345 0.0620843  0.06302712],[1.6056029  1.80263879 1.86458201 1.84555244 1.72376174],[0.52689589 0.52296779 0.52112043 0.52087496 0.52117882],[0.2718667  0.26267413 0.2494779  0.24915048 0.25431411],[0.23296022 0.22582511 0.21638086 0.21602032 0.22024132],[2.61289271 2.58770847 2.54492425 2.5432761  2.56117818]
16,"[1.99726245e-10 2.86131924e-10 2.84850120e-10 2.70746062e-10
 2.20248765e-10]",[0.09881904 0.09624826 0.09550508 0.09553961 0.09533112],[1.78802811 1.85204939 1.80921567 1.79532483 1.7536474 ],[0.54335282 0.54100041 0.54282406 0.54256142 0.53950805],[0.38121733 0.38115028 0.39280135 0.39333972 0.38655373],[0.28650178 0.29164515 0.30394651 0.30452729 0.29863026],[3.19384402 3.16272935 3.15120811 3.15151764 3.15132276]
17,"[9.80268250e-11 1.42952502e-10 1.43987889e-10 1.36878452e-10
 1.11033487e-10]",[0.10029405 0.09705417 0.09657792 0.09664249 0.09608989],[1.67121892 1.79661092 1.76829666 1.74848309 1.67751501],[0.5581181  0.55383799 0.55610711 0.55610871 0.55468855],[0.39266758 0.38053289 0.38252952 0.38297827 0.37891063],[0.31145388 0.30057535 0.30318488 0.30374161 0.29999285],[3.20580828 3.17897518 3.19527653 3.19717231 3.1818759 ]
18,"[1.62126214e-10 2.33236243e-10 2.77630006e-10 2.66518844e-10
 1.96863101e-10]",[0.07111821 0.07241964 0.07328499 0.07328956 0.07304684],[1.63112285 1.73565967 1.74364676 1.7278675  1.63341464],[0.52650413 0.52307341 0.52404309 0.52431874 0.52368197],[0.28800297 0.29801132 0.30538396 0.30536606 0.30428663],[0.24031755 0.25446188 0.26023519 0.25997175 0.26081917],[2.70314268 2.73811981 2.75912333 2.75919276 2.75543375]
19,"[1.79891116e-10 2.43742870e-10 2.36923082e-10 2.25292601e-10
 1.83440152e-10]",[0.08059633 0.08016045 0.08276114 0.08292627 0.08129061],[1.9063126  2.00761649 1.9361335  1.91497169 1.86025   ],[0.55334097 0.54808238 0.54876166 0.54900109 0.54949585],[0.29925381 0.30914196 0.33428409 0.33588833 0.32299713],[0.22203284 0.22886163 0.25097025 0.25208813 0.24114662],[3.02934689 3.04252654 3.08206707 3.08396717 3.06477392]
20,"[1.65126954e-10 2.38376857e-10 2.74994246e-10 2.63532562e-10
 1.98008269e-10]",[0.06268893 0.06353822 0.06456772 0.06459396 0.06417845],[1.73785423 1.89292275 1.8899102  1.86849978 1.7649236 ],[0.52811466 0.52879333 0.52845019 0.5289383  0.52611057],[0.24836557 0.25444132 0.26012463 0.2602178  0.25839349],[0.20775501 0.21347977 0.2200105  0.21991435 0.21965414],[2.58010572 2.64287872 2.67462764 2.67411148 2.67254069]
21,"[1.35516796e-10 2.09373679e-10 2.53106241e-10 2.42718790e-10
 1.80257644e-10]",[0.06930932 0.06762451 0.06428241 0.06414315 0.06554447],[1.57266615 1.78182504 1.86373891 1.8440829  1.71117572],[0.5183124  0.51708781 0.52022616 0.51968649 0.52046709],[0.27878258 0.27061956 0.25602523 0.25545    0.26177483],[0.23266957 0.22492434 0.20739627 0.20656784 0.21489095],[2.7254403  2.68066778 2.57990442 2.57568368 2.6205896 ]
22,"[1.91167756e-10 2.56482704e-10 2.69133649e-10 2.57160108e-10
 2.00142201e-10]",[0.06041733 0.06197355 0.06249029 0.06246397 0.06249337],[1.73862699 1.85525577 1.88409948 1.86458478 1.73644795],[0.52785687 0.52598949 0.52877198 0.52907291 0.52853999],[0.23124783 0.24448388 0.2496092  0.24946609 0.24945416],[0.18533341 0.19770171 0.2073134  0.20734564 0.20524074],[2.47337279 2.58606428 2.67340568 2.6747902  2.65156383]
23,"[1.49980553e-10 2.12567625e-10 2.25857835e-10 2.15581587e-10
 1.68680618e-10]",[0.06854479 0.06843401 0.06823245 0.06821856 0.06825298],[1.51205124 1.66297751 1.6833078  1.66395514 1.56345428],[0.52031044 0.51738643 0.51655241 0.5170169  0.51539582],[0.27814142 0.28001658 0.28052794 0.28050265 0.28066762],[0.23322884 0.23658217 0.2400602  0.23981636 0.24038238],[2.72024689 2.71915972 2.71755815 2.71727639 2.71902967]
24,"[3.57495998e-10 4.56811534e-10 4.32955623e-10 4.11967860e-10
 3.35404850e-10]",[0.06703715 0.06874429 0.07031728 0.07034447 0.06985292],[1.93539488 1.96211608 1.90420771 1.88870366 1.83043627],[0.52361372 0.52189569 0.52075563 0.5202397  0.52127924],[0.25769708 0.26980573 0.28231637 0.28268401 0.27869161],[0.17292295 0.19014297 0.21055315 0.21114347 0.20391174],[2.88281857 2.87427296 2.82312486 2.82033073 2.8473475 ]
25,"[1.14139517e-10 1.79972993e-10 2.23408236e-10 2.14427429e-10
 1.57641192e-10]",[0.06532299 0.0631151  0.05941681 0.05927288 0.06075509],[1.53741657 1.75847925 1.89065225 1.87056947 1.69623095],[0.52864011 0.52687515 0.52777435 0.5280223  0.52663301],[0.26521257 0.25304112 0.23301401 0.23219585 0.24086191],[0.22484924 0.21222078 0.19383332 0.19305045 0.20132884],[2.70334884 2.64543329 2.51889658 2.51369478 2.56938293]
26,"[1.83590986e-10 2.64267621e-10 2.96845433e-10 2.84088988e-10
 2.16372749e-10]",[0.06451035 0.06391493 0.06352741 0.06351971 0.06356596],[1.70167715 1.85272528 1.91005509 1.89189794 1.76201856],[0.52581204 0.52169621 0.52155837 0.52180939 0.52191253],[0.25646371 0.25510634 0.25407192 0.25408816 0.25444224],[0.2052073  0.2081922  0.20941233 0.20925452 0.20962667],[2.78824702 2.7746151  2.76854654 2.76860462 2.76906284]
27,"[1.93131741e-10 2.62060571e-10 2.70241630e-10 2.57866142e-10
 2.03152653e-10]",[0.06001082 0.06209085 0.06378944 0.06381456 0.06330171],[1.64410431 1.75133499 1.7439316  1.72449731 1.62468073],[0.5157674  0.51458717 0.51830063 0.51774795 0.51855501],[0.2359544  0.24872907 0.25756124 0.25791884 0.25489593],[0.20117602 0.21426559 0.22798721 0.22821459 0.22434093],[2.61690505 2.67081343 2.71869177 2.71957418 2.70582921]
28,"[2.42484542e-10 3.66287814e-10 4.19541985e-10 4.01399431e-10
 3.05439029e-10]",[0.05767617 0.05755922 0.0571368  0.05711408 0.0572935 ],[1.77773085 1.94895169 1.98078195 1.96140887 1.85091809],[0.51473283 0.51013507 0.51286569 0.5120636  0.51338178],[0.22616288 0.22549277 0.22337139 0.22329842 0.22429539],[0.19671482 0.19873718 0.19753085 0.19735001 0.19896315],[2.45311004 2.46643321 2.47395135 2.47390043 2.47296286]
29,"[2.52075607e-10 3.34953874e-10 3.26608891e-10 3.10853536e-10
 2.51469312e-10]",[0.06261714 0.06474248 0.06786892 0.06797663 0.06668054],[1.72493921 1.78968553 1.74451549 1.72685683 1.65586901],[0.51522775 0.51179096 0.5139375  0.51446471 0.51307747],[0.24620267 0.25950517 0.27814369 0.27894998 0.27189503],[0.2045865  0.21763405 0.23481123 0.23529256 0.22974017],[2.68679945 2.71799627 2.76954734 2.77155518 2.74967214]
30,"[2.41569391e-10 3.34312873e-10 3.38831761e-10 3.22774900e-10
 2.57916392e-10]",[0.06204112 0.0642225  0.06719817 0.06729846 0.06608599],[1.73758193 1.82232067 1.78292423 1.76489288 1.69257605],[0.51672978 0.51276085 0.51318859 0.51317238 0.51290592],[0.24823187 0.26053729 0.27606253 0.27658381 0.27037336],[0.2137721  0.22699009 0.23776539 0.23799614 0.2348112 ],[2.630929   2.71154003 2.81025805 2.81351293 2.7758772 ]
31,"[2.23239330e-10 3.10295971e-10 3.03664635e-10 2.88619208e-10
 2.35494164e-10]",[0.05780192 0.05788998 0.05895461 0.05901317 0.05839296],[1.8454998  1.97307415 1.94108017 1.91715476 1.82044511],[0.51646246 0.51481991 0.5150585  0.51506997 0.51430599],[0.22258804 0.22443299 0.23124978 0.23144635 0.22808413],[0.18551639 0.18875983 0.19835447 0.1987748  0.19426368],[2.65510067 2.63919184 2.63633462 2.63670321 2.6346921 ]
32,"[2.78807846e-10 3.75358831e-10 3.48662194e-10 3.30683642e-10
 2.75999600e-10]",[0.04921697 0.05018755 0.05398221 0.05417913 0.0522019 ],[2.04592888 2.19059963 2.11772857 2.08880955 1.99955585],[0.52104048 0.51656409 0.51668604 0.51694035 0.51778732],[0.17788259 0.18556126 0.20569323 0.20669176 0.19649296],[0.14916566 0.15921162 0.1788906  0.17975041 0.17067787],[2.39927937 2.42442881 2.50876947 2.51298044 2.47097047]
33,"[2.42524246e-10 2.91814523e-10 2.57917335e-10 2.44972649e-10
 2.04278646e-10]",[0.05289003 0.0569167  0.06202714 0.06217061 0.06027634],[1.94273354 1.97513302 1.85078066 1.82580705 1.7541477 ],[0.52184458 0.51735891 0.51549143 0.51547916 0.51438559],[0.19760327 0.22014712 0.24862818 0.24959127 0.23908296],[0.17032756 0.19136659 0.21579816 0.21632004 0.20869428],[2.57761708 2.66396171 2.75061733 2.75272283 2.72444388]
34,"[2.08076077e-10 3.04938679e-10 3.38867539e-10 3.23945532e-10
 2.49065604e-10]",[0.06152566 0.06157543 0.06147095 0.06146059 0.06149443],[1.65473353 1.81819188 1.87151007 1.85374708 1.73503935],[0.51348992 0.51457782 0.50890322 0.50887528 0.51134187],[0.24390311 0.24545647 0.24525255 0.24518257 0.24523554],[0.2075886  0.2103123  0.21068831 0.21054099 0.21107011],[2.56969505 2.58923801 2.60437055 2.60464379 2.60043945]
35,"[3.47862628e-10 4.52038296e-10 3.98366985e-10 3.77058626e-10
 3.21743174e-10]",[0.0465633  0.04903637 0.05373039 0.05393324 0.05177793],[2.14402065 2.23223009 2.07592485 2.04609493 1.99827738],[0.51323642 0.51464628 0.50914828 0.50865352 0.50957232],[0.16810239 0.18099833 0.20532739 0.20649523 0.19528396],[0.14295985 0.15722479 0.18050527 0.18136773 0.17168171],[2.47038593 2.55802703 2.66514888 2.66853801 2.62837231]
36,"[3.93706594e-10 5.47061598e-10 5.64196395e-10 5.37939463e-10
 4.26063302e-10]",[0.04471776 0.04609221 0.04806877 0.04813747 0.04732897],[2.17404725 2.29928536 2.28453598 2.26101679 2.14086223],[0.51196842 0.50986412 0.50878275 0.50935242 0.50905179],[0.16082569 0.16777953 0.17633876 0.17678642 0.17324135],[0.14469546 0.15141099 0.1591934  0.15952446 0.15649843],[2.33844387 2.39649966 2.47173659 2.47426406 2.44512196]
37,"[3.38649883e-10 4.76988759e-10 4.93286933e-10 4.70198371e-10
 3.72957485e-10]",[0.05105818 0.05062933 0.0502801  0.05027161 0.05035409],[1.95983737 2.1334452  2.18331662 2.16181286 2.02751352],[0.50849772 0.50720471 0.50783989 0.50842792 0.5064912 ],[0.19105354 0.18934589 0.18805425 0.18813093 0.188804  ],[0.16492612 0.1680536  0.16875201 0.16872288 0.16933468],[2.51947151 2.51312427 2.49838185 2.49762431 2.50499696]
38,"[3.26640626e-10 4.56544231e-10 4.67913687e-10 4.45888201e-10
 3.54854380e-10]",[0.04906639 0.04884951 0.04871405 0.04871117 0.04872061],[2.00264207 2.16942131 2.19779275 2.17401381 2.03971645],[0.51215581 0.5113102  0.51227205 0.51202473 0.51176392],[0.18173356 0.18074503 0.18028833 0.18033058 0.18047241],[0.1621558  0.16359213 0.16250324 0.16234478 0.1634925 ],[2.43046566 2.43099123 2.43012214 2.42999622 2.43089283]
39,"[2.54109662e-10 3.73718472e-10 3.93465933e-10 3.74938920e-10
 2.97166421e-10]",[0.05051635 0.05017601 0.05061395 0.05064753 0.05031104],[1.89724304 2.09100288 2.10026119 2.07464436 1.95391402],[0.51523986 0.51283687 0.50812969 0.50827763 0.50961638],[0.18983489 0.18786549 0.18982528 0.18991699 0.18854886],[0.17458567 0.17222575 0.1730665  0.17324266 0.17211787],[2.44399554 2.44994728 2.47536916 2.47665638 2.46384809]
40,"[3.49167822e-10 4.65979342e-10 4.47938864e-10 4.25893136e-10
 3.47716218e-10]",[0.04798108 0.0491148  0.050942   0.0510103  0.05022063],[2.02714115 2.14976914 2.09959319 2.07439339 1.97971441],[0.50974511 0.50947184 0.50996164 0.50968199 0.50977519],[0.17610337 0.18219062 0.19152317 0.19181357 0.18809841],[0.16073912 0.16825855 0.17494319 0.17504517 0.17310661],[2.48420645 2.5101657  2.5326843  2.53312418 2.52652411]
41,"[3.40763167e-10 4.97445341e-10 5.54513392e-10 5.30246988e-10
 4.06673684e-10]",[0.04465271 0.04389991 0.04251505 0.04245837 0.0430418 ],[2.07966879 2.32299724 2.44334472 2.41863877 2.22801061],[0.50950614 0.50597708 0.50373783 0.50321496 0.50345672],[0.15989571 0.15680625 0.1504632  0.15020877 0.15314029],[0.14644082 0.14519016 0.14203129 0.14185394 0.14368604],[2.35714211 2.36587484 2.37449836 2.37470024 2.37198411]
42,"[3.54848593e-10 5.18195751e-10 5.65460962e-10 5.40066335e-10
 4.19057139e-10]",[0.04659035 0.04485351 0.04287698 0.04281545 0.04352244],[2.04673918 2.27374888 2.3365691  2.31044909 2.15858996],[0.50608599 0.50368335 0.50273002 0.50270616 0.50268332],[0.17009362 0.16165838 0.15234001 0.15211401 0.15534697],[0.15875115 0.1534626  0.14422385 0.14387456 0.14795305],[2.31650145 2.29539427 2.26904494 2.26818402 2.27822281]
43,"[4.77347461e-10 6.75448355e-10 7.19904144e-10 6.87309037e-10
 5.36676113e-10]",[0.04128682 0.04012696 0.03851005 0.03845307 0.03908271],[2.53915488 2.76793656 2.80044174 2.76851905 2.60172961],[0.50692538 0.50474435 0.50376497 0.5026747  0.50348042],[0.14311833 0.1388937  0.13303913 0.13285233 0.13555078],[0.13430498 0.1323565  0.12806622 0.12790825 0.12986635],[2.27493756 2.25265    2.18698212 2.1838935  2.21547154]
44,"[4.27646535e-10 5.33993358e-10 5.03787380e-10 4.79667991e-10
 3.89184683e-10]",[0.040391   0.04186632 0.04263635 0.04262373 0.04255407],[2.26406191 2.37210881 2.34251666 2.31424402 2.17137457],[0.50581532 0.50659705 0.50955908 0.50930546 0.50704114],[0.14017995 0.1476588  0.1515281  0.15149208 0.15114886],[0.12504016 0.13461327 0.14072311 0.14076458 0.13955178],[2.24385159 2.29574149 2.33260186 2.33287011 2.32487599]
45,"[4.96338106e-10 6.51626368e-10 6.07043097e-10 5.76397951e-10
 4.77260820e-10]",[0.04105556 0.04269198 0.04559412 0.04571077 0.04443125],[2.34432548 2.42660424 2.32346017 2.29560181 2.2085158 ],[0.50616934 0.50328978 0.50387583 0.50359515 0.50241379],[0.14395111 0.15142654 0.16511042 0.16566107 0.1597253 ],[0.13451853 0.14177691 0.15298759 0.15343332 0.14865712],[2.28442576 2.34543154 2.43779816 2.44124756 2.40307526]
46,"[3.01516677e-10 4.51267246e-10 5.03662380e-10 4.81314483e-10
 3.70730584e-10]",[0.04757672 0.046078   0.04488    0.04485433 0.04518821],[1.95473155 2.19099745 2.25454443 2.22898171 2.07966425],[0.50787864 0.50456991 0.50405862 0.5034853  0.50567138],[0.17492342 0.16755479 0.16186435 0.16172276 0.16330383],[0.16347494 0.15804247 0.15173961 0.15144728 0.15439317],[2.45186473 2.44917458 2.43611358 2.43540152 2.44228237]
47,"[5.66105569e-10 7.20818509e-10 6.24558340e-10 5.90994705e-10
 5.06655520e-10]",[0.05387592 0.05411388 0.05554419 0.05562643 0.05482424],[2.42501861 2.46990044 2.39171481 2.36996868 2.29882348],[0.51162472 0.51346775 0.51017298 0.51093663 0.51002312],[0.20400578 0.20611051 0.21442404 0.2148971  0.21042896],[0.17038571 0.1774036  0.19051916 0.19109908 0.18504782],[2.61025142 2.63114858 2.68120633 2.68368575 2.65910413]
48,"[3.00793402e-10 4.52931141e-10 4.74311627e-10 4.51512536e-10
 3.60667477e-10]",[0.07301741 0.06931654 0.06587989 0.06578472 0.06692677],[2.33126451 2.50857367 2.56522839 2.54680326 2.4276013 ],[0.55017523 0.54281604 0.53960063 0.53960879 0.5396003 ],[0.3036875  0.28481186 0.26668824 0.26631554 0.27259614],[0.25166774 0.24008399 0.23065914 0.23043658 0.23368282],[2.9463407  2.89841119 2.85866739 2.85780812 2.86993309]
49,"[2.83512155e-10 3.99831817e-10 3.76551667e-10 3.56843607e-10
 2.98726361e-10]",[0.11701345 0.11707536 0.11883532 0.11894091 0.11787293],[1.84044385 1.85004087 1.79522937 1.78630616 1.77400275],[0.55725301 0.55526204 0.55782585 0.55802886 0.55646676],[0.48461971 0.48714707 0.49359515 0.49399258 0.49010725],[0.39739733 0.40171497 0.40846907 0.40891048 0.40492471],[3.37058863 3.30817853 3.28515598 3.28578096 3.28541595]
50,"[2.13482391e-10 3.25159381e-10 3.38605159e-10 3.22111433e-10
 2.58711268e-10]",[0.10203903 0.10001819 0.09853468 0.09850023 0.09887956],[1.8548783  1.95009416 1.96250681 1.95166226 1.89300988],[0.55377893 0.5541007  0.55349775 0.55301022 0.5534066 ],[0.43485272 0.42755444 0.41968243 0.41918265 0.4220251 ],[0.36492033 0.36004228 0.35043788 0.35003698 0.35406005],[3.28600013 3.24366999 3.23406892 3.23477525 3.23154475]
51,"[2.17277684e-10 3.12840412e-10 2.92349364e-10 2.76705262e-10
 2.33810500e-10]",[0.11645532 0.11625765 0.11719357 0.11725403 0.11659146],[1.88644956 1.94741886 1.90278533 1.89082905 1.87107918],[0.56137401 0.56274557 0.56255353 0.56324425 0.5613844 ],[0.45774544 0.46303567 0.46802873 0.4684001  0.46604711],[0.35597846 0.36289496 0.369739   0.37001037 0.3673798 ],[3.55992868 3.53371729 3.51242681 3.51200382 3.51830445]
52,"[2.46552107e-10 3.78405882e-10 3.81048542e-10 3.61649621e-10
 2.96545236e-10]",[0.11676423 0.11538414 0.11327476 0.11317754 0.11406641],[1.86405523 1.9512969  1.96619117 1.95801541 1.91633558],[0.56956426 0.56795212 0.56697985 0.56695527 0.56770096],[0.49006381 0.48514373 0.47881195 0.47862848 0.48163465],[0.41290982 0.41147892 0.40797442 0.40773915 0.40978605],[3.48119659 3.46336744 3.44275438 3.44199199 3.45028192]
53,"[3.01056243e-10 4.29152143e-10 3.94359101e-10 3.72972008e-10
 3.17592441e-10]",[0.08714142 0.08828223 0.09085233 0.09097766 0.08967698],[2.30160217 2.37611208 2.29248704 2.27473192 2.25375134],[0.56006862 0.55842388 0.55913126 0.55913239 0.55983467],[0.36014222 0.36421796 0.37520942 0.37568311 0.36946787],[0.27867863 0.28006194 0.28767756 0.28810219 0.28387855],[3.36105747 3.36487948 3.38251908 3.3835364  3.37400731]
54,"[2.23582552e-10 3.34016406e-10 3.29238998e-10 3.12316742e-10
 2.57840537e-10]",[0.08365602 0.08413163 0.08637272 0.08649402 0.08525775],[1.72536478 1.80279407 1.73659978 1.72087465 1.69370604],[0.53939686 0.53733465 0.53672338 0.53714292 0.53593666],[0.3403812  0.34100202 0.35124976 0.3520018  0.3466286 ],[0.25919514 0.25922529 0.26527355 0.26562754 0.26184962],[2.98337489 2.94360675 2.91391698 2.91328763 2.92214931]
55,"[1.07037303e-10 1.62070926e-10 1.64515153e-10 1.56281427e-10
 1.27209537e-10]",[0.09632731 0.09515883 0.09419413 0.09415948 0.09437459],[1.53162672 1.64275593 1.60734793 1.58938884 1.53454257],[0.54811087 0.54577491 0.54568803 0.54568315 0.54623597],[0.40184372 0.39912108 0.39740429 0.3975255  0.39702663],[0.31448446 0.31135703 0.3114488  0.31159927 0.31042003],[3.26743543 3.21868769 3.16355011 3.16164806 3.18307298]
56,"[2.62528445e-10 3.82206299e-10 3.72413591e-10 3.53309427e-10
 2.92022619e-10]",[0.09424617 0.0928904  0.09142865 0.09137622 0.09188601],[2.11119553 2.24262079 2.25726777 2.24322132 2.18088025],[0.56703986 0.56437144 0.56578499 0.56578592 0.56462859],[0.39839695 0.39286541 0.38713281 0.38668614 0.38879469],[0.32549513 0.32455009 0.32124267 0.3210661  0.3227768 ],[3.3972089  3.37473596 3.34441953 3.34326257 3.35580849]
57,"[2.55177711e-10 3.58040537e-10 3.27262342e-10 3.09582806e-10
 2.63476489e-10]",[0.0836356  0.08514485 0.08785512 0.08797431 0.08667635],[2.24287621 2.33712765 2.25407296 2.2338473  2.20182953],[0.56604731 0.56452609 0.56333025 0.56334487 0.56332433],[0.3385982  0.3514055  0.36676855 0.36732023 0.36099423],[0.26668144 0.27783949 0.29519565 0.29581668 0.28868261],[3.29172041 3.28496119 3.28166792 3.28169483 3.28205365]
